Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Length,Sequence_Type,Nuc_Completeness,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
NC_043175,Oxbow virus,"Kang,H.J., Bennett,S.N., Dizney,L., Sumibcay,L., Arai,S., Ruedas,L.A., Song,J.W., Yanagihara,R., Song,J.-W.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Orthohantavirus oxbowense,Orthohantavirus,4383,RefSeq,complete,L,1,USA,USA,,Neurotrichus gibbsii,tissue,2003-09-11
NC_043176,Oxbow virus,"Kang,H.J., Bennett,S.N., Dizney,L., Sumibcay,L., Arai,S., Ruedas,L.A., Song,J.W., Yanagihara,R., Song,J.-W.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Orthohantavirus oxbowense,Orthohantavirus,3643,RefSeq,complete,M,1,USA,USA,,Neurotrichus gibbsii,tissue,2003-09-11
NC_043407,Necocli virus,"Montoya-Ruiz,C., Cajimat,M.N., Milazzo,M.L., Diaz,F.J., Rodas,J.D., Valbuena,G., Fulhorst,C.F.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Orthohantavirus necocliense,Orthohantavirus,403,RefSeq,complete,L,1,Colombia: Antioquia,Colombia,,Zygodontomys brevicauda,lung,2011-02-07
NC_043408,Necocli virus,"Montoya-Ruiz,C., Cajimat,M.N., Milazzo,M.L., Diaz,F.J., Rodas,J.D., Valbuena,G., Fulhorst,C.F., Cajimat,M.N.B.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Orthohantavirus necocliense,Orthohantavirus,3637,RefSeq,complete,M,1,Colombia: Antioquia,Colombia,,Zygodontomys brevicauda,lung,2011-02-07
NC_043409,Necocli virus,"Montoya-Ruiz,C., Cajimat,M.N., Milazzo,M.L., Diaz,F.J., Rodas,J.D., Valbuena,G., Fulhorst,C.F., Cajimat,M.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,,Orthohantavirus necocliense,Orthohantavirus,1960,RefSeq,complete,S,1,Colombia: Antioquia,Colombia,,Zygodontomys brevicauda,lung,2011-02-07
NC_043527,Seewis virus,"Ling,J., Smura,T., Tamarit,D., Huitu,O., Voutilainen,L., Henttonen,H., Vaheri,A., Vapalahti,O., Sironen,T.","National Center for Biotechnology Information, NIH",USA,2019-06-28T00:00:00Z,EWS25,Seewis orhtohantavirus,Orthohantavirus,1641,RefSeq,complete,S,1,Finland,Finland,,Sorex araneus,,
NC_038273,Asama virus,,"National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Orthohantavirus asamaense,Orthohantavirus,1710,RefSeq,complete,S,,Japan,Japan,,Urotrichus talpoides,lung,
NC_038274,Asama virus,,"National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Orthohantavirus asamaense,Orthohantavirus,3604,RefSeq,complete,M,,Japan,Japan,,Urotrichus talpoides,lung,
NC_038299,Orthohantavirus bayoui,"Cajimat,M.N.B., Richter,M.H., Milazzo,M.L., Fulhorst,C.F., Jung,M., Gerrard,S.R.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,HV F0260003,Orthohantavirus bayoui,Orthohantavirus,6554,RefSeq,complete,L,,USA,USA,,Oryzomys palustris,lung,1996
NC_038373,Choclo virus,"Nelson,R., Canate,R., Pascale,J.M., Dragoo,J.W., Armien,B., Armien,A., Koster,F.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Orthohantavirus chocloense,Orthohantavirus,1972,RefSeq,complete,S,,Panama,Panama,,Oligoryzomys fulvescens,"spleen, abdominal cavity",
NC_038374,Choclo virus,"Nelson,R., Canate,R., Pascale,J.M., Dragoo,J.W., Armien,B., Armien,A., Koster,F.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Orthohantavirus chocloense,Orthohantavirus,3685,RefSeq,complete,M,,Panama,Panama,,Oligoryzomys fulvescens,"spleen, abdominal cavity",
NC_038383,Dabieshan virus,"Wang,W., Lin,X., Zhang,Y., Guo,W.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Orthohantavirus dabieshanense,Orthohantavirus,3623,RefSeq,complete,M,,China,China,,Niviventer confucianus,lung,2008
NC_038384,Dabieshan virus,"Wang,W., Lin,X., Zhang,Y., Guo,W.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Orthohantavirus dabieshanense,Orthohantavirus,1725,RefSeq,complete,S,,China,China,,Niviventer confucianus,lung,2008
NC_038423,Orthohantavirus moroense,"Hjelle,B., Chavez-Giles,F., Torrez-Martinez,N., Yates,T., Sarisky,J., Webb,J., Ascher,M.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,RM-97,Orthohantavirus moroense,Orthohantavirus,1896,RefSeq,complete,,1,,,,Reithrodontomys megalotis,,
NC_038424,Orthohantavirus moroense,"Torrez-Martinez,N., Song,W., Hjelle,B.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,RM-97,Orthohantavirus moroense,Orthohantavirus,3801,RefSeq,complete,,1,,,,Reithrodontomys megalotis,,
NC_038446,Hantavirus Fusong-Mf-682,"Zou,Y., Wang,J.B., Gaowa,H.S., Yao,L.S., Hu,G.W., Li,M.H., Chen,H.X., Plyusnin,A., Shao,R., Zhang,Y.Z., Shao,R.F.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Orthohantavirus fusongense,Orthohantavirus,1873,RefSeq,complete,,1,"China: Jilin Province, Fusong",China,,Microtus fortis,,
NC_038447,Hantavirus Fusong-Mf-682,"Zou,Y., Wang,J.B., Gaowa,H.S., Yao,L.S., Hu,G.W., Li,M.H., Chen,H.X., Plyusnin,A., Shao,R., Zhang,Y.Z., Shao,R.F.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Orthohantavirus fusongense,Orthohantavirus,3700,RefSeq,complete,M,1,"China: Jilin Province, Fusong",China,,Microtus fortis,,
NC_038505,Orthohantavirus negraense,"Johnson,A.M., Bowen,M.D., Ksiazek,T.G., Williams,R.J., Bryan,R.T., Mills,J.N., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Orthohantavirus negraense,Orthohantavirus,1904,RefSeq,complete,,1,,,,Calomys laucha,,
NC_038506,Orthohantavirus negraense,"Johnson,A.M., Bowen,M.D., Ksiazek,T.G., Williams,R.J., Bryan,R.T., Mills,J.N., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Orthohantavirus negraense,Orthohantavirus,3698,RefSeq,complete,,1,,,,Calomys laucha,,
NC_038528,Eothenomys miletus hantavirus LX309,"Zhang,Y., Yuan,J., Yang,X., Zhou,J., Yang,W., Peng,C., Zhang,H.L., Shi,Z., Zhang,Y.-Z., Yuan,J.-F., Yang,X.-L., Zhou,J.-H., Zhang,W.-H., Zhang,H.-L., Shi,Z.-L.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,LX309,Orthohantavirus luxiense,Orthohantavirus,3663,RefSeq,complete,middle,1,China,China,,Eothenomys miletus,lung,2009-09
NC_038529,Eothenomys miletus hantavirus LX309,"Zhang,Y., Yuan,J., Yang,X., Zhou,J., Yang,W., Peng,C., Zhang,H.L., Shi,Z., Zhang,Y.-Z., Yuan,J.-F., Yang,X.-L., Zhou,J.-H., Zhang,W.-H., Zhang,H.-L., Shi,Z.-L.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,LX309,Orthohantavirus luxiense,Orthohantavirus,6538,RefSeq,complete,large,1,China,China,,Eothenomys miletus,lung,2009
NC_038530,Eothenomys miletus hantavirus LX309,"Zhang,Y., Yuan,J., Yang,X., Zhou,J., Yang,W., Peng,C., Zhang,H.L., Shi,Z., Zhang,Y.-Z., Yuan,J.-F., Yang,X.-L., Zhou,J.-H., Zhang,W.-H., Zhang,H.-L., Shi,Z.-L.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,LX309,Orthohantavirus luxiense,Orthohantavirus,2107,RefSeq,complete,small,1,China,China,,Eothenomys miletus,lung,2009-09
NC_038694,Rockport virus,"Kang,H.J., Bennett,S.N., Hope,A.G., Cook,J.A., Yanagihara,R., Bennet,S.N., Song,J.-W.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,MSB57412,Orthohantavirus rockportense,Orthohantavirus,3647,RefSeq,complete,M,1,USA,USA,,Scalopus aquaticus,,1986-10
NC_038695,Rockport virus,"Kang,H.J., Bennett,S.N., Hope,A.G., Cook,J.A., Yanagihara,R., Bennet,S.N., Song,J.-W.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,MSB57412,Orthohantavirus rockportense,Orthohantavirus,6558,RefSeq,complete,L,1,USA,USA,,Scalopus aquaticus,,1986-10
NC_038696,Rockport virus,"Kang,H.J., Bennett,S.N., Hope,A.G., Cook,J.A., Yanagihara,R., Bennet,S.N., Song,J.-W.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,MSB57412,Orthohantavirus rockportense,Orthohantavirus,1830,RefSeq,complete,S,1,USA,USA,,Scalopus aquaticus,,1986-10
NC_038704,Yakeshi virus,"Guo,W.P., Lin,X.D., Wang,W., Tian,J.H., Cong,M.L., Zhang,H.L., Wang,M.R., Zhou,R.H., Wang,J.B., Li,M.H., Xu,J., Holmes,E.C., Zhang,Y.Z., Guo,W.-P., Zhou,R.-H., Zhang,Y.-Z., Lin,X.-D.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Orthohantavirus yakeshiense,Orthohantavirus,1686,RefSeq,complete,S,1,China,China,,,lung,2006
NC_038705,Yakeshi virus,"Guo,W.P., Lin,X.D., Wang,W., Tian,J.H., Cong,M.L., Zhang,H.L., Wang,M.R., Zhou,R.H., Wang,J.B., Li,M.H., Xu,J., Holmes,E.C., Zhang,Y.Z., Guo,W.-P., Zhou,R.-H., Zhang,Y.-Z., Lin,X.-D.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Orthohantavirus yakeshiense,Orthohantavirus,3630,RefSeq,complete,M,1,China,China,,Sorex isodon,lung,2006
NC_038938,Orthohantavirus prospectense,"Plyusnin,A., Vapalahti,O., Vaheri,A.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Orthohantavirus prospectense,Orthohantavirus,1675,RefSeq,complete,S,1,,,,,,
NC_038939,Orthohantavirus prospectense,"Song,J.W., Gu,S.H., Bennett,S.N., Arai,S., Puorger,M., Hilbe,M., Yanagihara,R., Nerurkar,V.R., Song,J.-W.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Orthohantavirus prospectense,Orthohantavirus,6559,RefSeq,complete,L,1,USA,USA,,Microtus pennsylvanicus,,
NC_038940,Orthohantavirus prospectense,"Parrington,M.A., Lee,P.W., Kang,C.Y.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Orthohantavirus prospectense,Orthohantavirus,3707,RefSeq,complete,M,1,,,,,,
NC_034515,Orthohantavirus delgaditoense,"Richter,M.H., Wilson,M.J., Milazzo,M.L., Gerrard,S.R., Fulhorst,C.F.","National Center for Biotechnology Information, NIH",USA,2017-05-15T00:00:00Z,,Orthohantavirus delgaditoense,Orthohantavirus,6578,RefSeq,complete,L,,Venezuela,Venezuela,,Sigmodon alstoni,lung,1996
NC_034518,Orthohantavirus khabarovskense,"Wang,C.Q., Gao,J.H., Li,M., Guo,W.P., Lu,M.Q., Wang,W., Hu,M.X., Li,M.H., Yang,J., Liang,H.J., Tian,X.F., Holmes,E.C., Zhang,Y.Z.","National Center for Biotechnology Information, NIH",USA,2017-05-15T00:00:00Z,Fuyuan-Mm-217,Orthohantavirus khabarovskense,Orthohantavirus,3706,RefSeq,complete,M,1,China,China,,Microtus maximowiczii,lung,2011
NC_034519,Orthohantavirus khabarovskense,"Wang,C.Q., Gao,J.H., Li,M., Guo,W.P., Lu,M.Q., Wang,W., Hu,M.X., Li,M.H., Yang,J., Liang,H.J., Tian,X.F., Holmes,E.C., Zhang,Y.Z.","National Center for Biotechnology Information, NIH",USA,2017-05-15T00:00:00Z,Fuyuan-Mm-217,Orthohantavirus khabarovskense,Orthohantavirus,6581,RefSeq,complete,L,1,China,China,,Microtus maximowiczii,lung,2011
NC_034525,Orthohantavirus delgaditoense,"Milazzo,M.L., Cajimat,M.N., Hanson,J.D., Bradley,R.D., Quintana,M., Sherman,C., Velasquez,R.T., Fulhorst,C.F., Cajimat,M.N.B.","National Center for Biotechnology Information, NIH",USA,2017-05-15T00:00:00Z,,Orthohantavirus delgaditoense,Orthohantavirus,3675,RefSeq,complete,M,1,Venezuela,Venezuela,,Sigmodon alstoni,lung,
NC_034527,Orthohantavirus khabarovskense,"Wang,C.Q., Gao,J.H., Li,M., Guo,W.P., Lu,M.Q., Wang,W., Hu,M.X., Li,M.H., Yang,J., Liang,H.J., Tian,X.F., Holmes,E.C., Zhang,Y.Z.","National Center for Biotechnology Information, NIH",USA,2017-05-15T00:00:00Z,Fuyuan-Mm-217,Orthohantavirus khabarovskense,Orthohantavirus,1845,RefSeq,complete,S,1,China,China,,Microtus maximowiczii,lung,2011
NC_034528,Orthohantavirus delgaditoense,"Milazzo,M.L., Cajimat,M.N., Hanson,J.D., Bradley,R.D., Quintana,M., Sherman,C., Velasquez,R.T., Fulhorst,C.F., Cajimat,M.N.B.","National Center for Biotechnology Information, NIH",USA,2017-05-15T00:00:00Z,,Orthohantavirus delgaditoense,Orthohantavirus,1986,RefSeq,complete,S,1,Venezuela,Venezuela,,Sigmodon alstoni,lung,
NC_034552,Maporal virus,"Fulhorst,C.F., Cajimat,M.N., Utrera,A., Milazzo,M.L., Duno,G.M., Cajimat,M.N.B.","National Center for Biotechnology Information, NIH",USA,2017-05-15T00:00:00Z,,Orthohantavirus maporalense,Orthohantavirus,3684,RefSeq,complete,M,1,,,,,spleen,
NC_034553,Maporal virus,"Richter,M.H., Hanson,J.D., Cajimat,M.N., Milazzo,M.L., Fulhorst,C.F., Cajimat,M.N.B.","National Center for Biotechnology Information, NIH",USA,2017-05-15T00:00:00Z,,Orthohantavirus maporalense,Orthohantavirus,6563,RefSeq,complete,L,1,Venezuela,Venezuela,,Oligoryzomys fulvescens,,
NC_034555,Anjozorobe virus,"Reynes,J.M., Razafindralambo,N.K., Lacoste,V., Olive,M.M., Barivelo,T.A., Soarimalala,V., Heraud,J.M., Lavergne,A., Reynes,J.-M., Olive,M.-M., Marianneau,P., Soarimalala,V.L., Heraud,J.-M.","National Center for Biotechnology Information, NIH",USA,2017-05-15T00:00:00Z,,Orthohantavirus thailandense,Orthohantavirus,1816,RefSeq,complete,S,1,Madagascar: Anjozorobe district,Madagascar,,Eliurus majori,,2008-10-03
NC_034556,Anjozorobe virus,"Reynes,J.M., Razafindralambo,N.K., Lacoste,V., Olive,M.M., Barivelo,T.A., Soarimalala,V., Heraud,J.M., Lavergne,A., Reynes,J.-M., Olive,M.-M., Marianneau,P., Soarimalala,V.L., Heraud,J.-M.","National Center for Biotechnology Information, NIH",USA,2017-05-15T00:00:00Z,,Orthohantavirus thailandense,Orthohantavirus,6508,RefSeq,complete,L,1,Madagascar: Anjozorobe district,Madagascar,,Eliurus majori,"spleen, liver, abdominal cavity",2008-10-03
NC_034559,Kenkeme virus,"Wang,C.Q., Gao,J.H., Li,M., Guo,W.P., Lu,M.Q., Wang,W., Hu,M.X., Li,M.H., Yang,J., Liang,H.J., Tian,X.F., Holmes,E.C., Zhang,Y.Z.","National Center for Biotechnology Information, NIH",USA,2017-05-15T00:00:00Z,Fuyuan-Sr-326,Orthohantavirus kenkemeense,Orthohantavirus,1597,RefSeq,complete,S,1,China,China,,Sorex roboratus,lung,2011
NC_034560,Kenkeme virus,"Wang,C.Q., Gao,J.H., Li,M., Guo,W.P., Lu,M.Q., Wang,W., Hu,M.X., Li,M.H., Yang,J., Liang,H.J., Tian,X.F., Holmes,E.C., Zhang,Y.Z.","National Center for Biotechnology Information, NIH",USA,2017-05-15T00:00:00Z,Fuyuan-Sr-326,Orthohantavirus kenkemeense,Orthohantavirus,6499,RefSeq,complete,L,1,China,China,,Sorex roboratus,lung,2011
NC_034563,Anjozorobe virus,"Reynes,J.M., Razafindralambo,N.K., Lacoste,V., Olive,M.M., Barivelo,T.A., Soarimalala,V., Heraud,J.M., Lavergne,A., Reynes,J.-M., Olive,M.-M., Marianneau,P., Soarimalala,V.L., Heraud,J.-M.","National Center for Biotechnology Information, NIH",USA,2017-05-15T00:00:00Z,,Orthohantavirus thailandense,Orthohantavirus,3586,RefSeq,complete,M,1,Madagascar: Anjozorobe district,Madagascar,,Eliurus majori,"spleen, liver, abdominal cavity",2008-10-03
NC_034565,Kenkeme virus,"Wang,C.Q., Gao,J.H., Li,M., Guo,W.P., Lu,M.Q., Wang,W., Hu,M.X., Li,M.H., Yang,J., Liang,H.J., Tian,X.F., Holmes,E.C., Zhang,Y.Z.","National Center for Biotechnology Information, NIH",USA,2017-05-15T00:00:00Z,Fuyuan-Sr-326,Orthohantavirus kenkemeense,Orthohantavirus,3635,RefSeq,complete,M,1,China,China,,Sorex roboratus,lung,2011
NC_034566,Maporal virus,"Fulhorst,C.F., Cajimat,M.N., Utrera,A., Milazzo,M.L., Duno,G.M., Cajimat,M.N.B.","National Center for Biotechnology Information, NIH",USA,2017-05-15T00:00:00Z,,Orthohantavirus maporalense,Orthohantavirus,1859,RefSeq,complete,S,1,Venezuela,Venezuela,,Oligoryzomys fulvescens,"spleen, abdominal cavity",
NC_034466,Fugong virus,"Ge,X.Y., Yang,W.H., Pan,H., Zhou,J.H., Han,X., Zhu,G.J., Desmond,J.S., Daszak,P., Shi,Z.L., Zhang,Y.Z., Ge,X.-Y., Yang,W.-H., Pang,H., Zhou,J.-H., Hang,X., Zhu,G.-J., Shi,Z.-L., Zhang,Y.-Z.","National Center for Biotechnology Information, NIH",USA,2017-05-05T00:00:00Z,FG10,Orthohantavirus fugongense,Orthohantavirus,3630,RefSeq,complete,middle,1,China,China,,Eothenomys eleusis,,2012-08
NC_034467,Fugong virus,"Ge,X.Y., Yang,W.H., Pan,H., Zhou,J.H., Han,X., Zhu,G.J., Desmond,J.S., Daszak,P., Shi,Z.L., Zhang,Y.Z., Ge,X.-Y., Yang,W.-H., Pang,H., Zhou,J.-H., Hang,X., Zhu,G.-J., Shi,Z.-L., Zhang,Y.-Z.","National Center for Biotechnology Information, NIH",USA,2017-05-05T00:00:00Z,FG10,Orthohantavirus fugongense,Orthohantavirus,6531,RefSeq,complete,large,1,China,China,,Eothenomys eleusis,,2012-08
NC_034473,Fugong virus,"Ge,X.Y., Yang,W.H., Pan,H., Zhou,J.H., Han,X., Zhu,G.J., Desmond,J.S., Daszak,P., Shi,Z.L., Zhang,Y.Z., Ge,X.-Y., Yang,W.-H., Pang,H., Zhou,J.-H., Hang,X., Zhu,G.-J., Shi,Z.-L., Zhang,Y.-Z.","National Center for Biotechnology Information, NIH",USA,2017-05-05T00:00:00Z,FG10,Orthohantavirus fugongense,Orthohantavirus,1813,RefSeq,complete,small,1,China,China,,Eothenomys eleusis,,2012-08
NC_034474,Orthohantavirus caobangense,"Song,J.W., Kang,H.J., Song,K.J., Truong,T.T., Bennett,S.N., Arai,S., Truong,N.U., Yanagihara,R., Gu,S.H., Puorger,M., Hilbe,M., Song,J.-W., Song,K.-J.","National Center for Biotechnology Information, NIH",USA,2017-05-05T00:00:00Z,,Orthohantavirus caobangense,Orthohantavirus,3637,RefSeq,complete,M,2,Viet Nam,Viet Nam,,Anourosorex squamipes,lung,
NC_034484,Orthohantavirus caobangense,"Song,J.W., Kang,H.J., Song,K.J., Truong,T.T., Bennett,S.N., Arai,S., Truong,N.U., Yanagihara,R., Gu,S.H., Puorger,M., Hilbe,M., Song,J.-W., Song,K.-J.","National Center for Biotechnology Information, NIH",USA,2017-05-05T00:00:00Z,,Orthohantavirus caobangense,Orthohantavirus,1833,RefSeq,complete,S,2,Viet Nam,Viet Nam,,Anourosorex squamipes,lung,
NC_034485,Orthohantavirus caobangense,"Song,J.W., Kang,H.J., Song,K.J., Truong,T.T., Bennett,S.N., Arai,S., Truong,N.U., Yanagihara,R., Gu,S.H., Puorger,M., Hilbe,M., Song,J.-W., Song,K.-J.","National Center for Biotechnology Information, NIH",USA,2017-05-05T00:00:00Z,,Orthohantavirus caobangense,Orthohantavirus,6533,RefSeq,complete,L,2,Viet Nam,Viet Nam,,Anourosorex squamipes,lung,
