Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Length,Sequence_Type,Nuc_Completeness,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
NC_078697,Kwanza mammarenavirus,"Tesikova,J., Krasova,J., Gouy de Bellocq,J.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,ANG0206,Kwanza mammarenavirus,Mammarenavirus,3421,RefSeq,complete,S,1,Angola: Cassongue,Angola,,Mus triton,"saliva, oronasopharynx",2017-07
NC_078698,Kwanza mammarenavirus,"Tesikova,J., Krasova,J., Gouy de Bellocq,J.","National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,ANG0206,Kwanza mammarenavirus,Mammarenavirus,7216,RefSeq,complete,L,1,Angola: Cassongue,Angola,,Mus triton,"saliva, oronasopharynx",2017-07
NC_079107,Dhati Welel mammarenavirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,LAV2586,Dhati Welel mammarenavirus,Mammarenavirus,3347,RefSeq,complete,S,,Ethiopia: Dhati Welel,Ethiopia,,Mastomys natalensis,blood,2014-02-18
NC_079108,Dhati Welel mammarenavirus,,"National Center for Biotechnology Information, NIH",USA,2023-05-06T00:00:00Z,LAV2586,Dhati Welel mammarenavirus,Mammarenavirus,7238,RefSeq,complete,L,,Ethiopia: Dhati Welel,Ethiopia,,Mastomys natalensis,blood,2014-02-18
NC_055439,Xapuri virus,,"National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Mammarenavirus xapuriense,Mammarenavirus,3405,RefSeq,complete,S,,Brazil: Acre state,Brazil,,Neacomys musseri,,2016
NC_055440,Xapuri virus,,"National Center for Biotechnology Information, NIH",USA,2021-06-01T00:00:00Z,,Mammarenavirus xapuriense,Mammarenavirus,7049,RefSeq,complete,L,,Brazil: Acre state,Brazil,,Neacomys musseri,,2016
NC_040762,Apore mammarenavirus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12T00:00:00Z,,Apore mammarenavirus,Mammarenavirus,3400,RefSeq,complete,S,,"Brazil: Cassilandia, Mato Grosso do Sul",Brazil,,Oligoryzomys mattogrossae,,2008-10
NC_040763,Apore mammarenavirus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12T00:00:00Z,,Apore mammarenavirus,Mammarenavirus,7217,RefSeq,complete,L,,"Brazil: Cassilandia, Mato Grosso do Sul",Brazil,,Oligoryzomys mattogrossae,,2008-10
NC_038364,Mammarenavirus loeiense,"Blasdell,K.R., Duong,V., Eloit,M., Chretien,F., Ly,S., Hul,V., Deubel,V., Morand,S., Buchy,P., Blasdell,K.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,R5074,Mammarenavirus loeiense,Mammarenavirus,3344,RefSeq,complete,S,1,Thailand,Thailand,,Bandicota sp.,,2008
NC_038365,Mammarenavirus loeiense,,"National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,R5074,Mammarenavirus loeiense,Mammarenavirus,7184,RefSeq,complete,L,,Thailand,Thailand,,Bandicota sp.,,2008
NC_038366,Arenaviridae sp. 13ZR68,"Ishii,A., Sawa,H.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Mammarenavirus solweziense,Mammarenavirus,7149,RefSeq,complete,L,,Zambia:Solwezi,Zambia,,Grammomys sp.,kidney,2013-05
NC_038367,Arenaviridae sp. 13ZR68,"Ishii,A., Sawa,H.","National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,,Mammarenavirus solweziense,Mammarenavirus,3410,RefSeq,complete,S,,Zambia:Solwezi,Zambia,,Grammomys sp.,kidney,2013-05
NC_039009,Mammarenavirus ryukyuense,,"National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,YN2013,Mammarenavirus ryukyuense,Mammarenavirus,3363,RefSeq,complete,S,,China,China,,Mus caroli,,2013-08
NC_039010,Mammarenavirus ryukyuense,,"National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,YN2013,Mammarenavirus ryukyuense,Mammarenavirus,7144,RefSeq,complete,L,,China,China,,Mus caroli,,2013-08
NC_039011,Souris virus,,"National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,"PREDICT-05775,5302,5304",Mammarenavirus cameroonense,Mammarenavirus,7263,RefSeq,complete,L,,Cameroon,Cameroon,,Praomys,blood,2013-01-01
NC_039012,Souris virus,,"National Center for Biotechnology Information, NIH",USA,2018-08-24T00:00:00Z,"PREDICT-05775,5302,5304",Mammarenavirus cameroonense,Mammarenavirus,3383,RefSeq,complete,S,,Cameroon,Cameroon,,Praomys,blood,2013-01-01
NC_027134,Mammarenavirus marientalense,"Witkowski,P.T., Kallies,R., Hoveka,J., Auste,B., Ithete,N.L., Soltys,K., Szemes,T., Drosten,C., Preiser,W., Klempa,B., Mfune,J.K., Kruger,D.H., Mfune,J.K.E.","National Center for Biotechnology Information, NIH",USA,2015-06-02T00:00:00Z,,Mammarenavirus marientalense,Mammarenavirus,3360,RefSeq,complete,S,1,Namibia,Namibia,,Micaelamys namaquensis,lung,2012
NC_027135,Mammarenavirus okahandjaense,"Witkowski,P.T., Kallies,R., Hoveka,J., Auste,B., Ithete,N.L., Soltys,K., Szemes,T., Drosten,C., Preiser,W., Klempa,B., Mfune,J.K., Kruger,D.H., Mfune,J.K.E.","National Center for Biotechnology Information, NIH",USA,2015-06-02T00:00:00Z,,Mammarenavirus okahandjaense,Mammarenavirus,3379,RefSeq,complete,S,1,Namibia,Namibia,,Micaelamys namaquensis,lung,2012
NC_027136,Mammarenavirus marientalense,"Witkowski,P.T., Kallies,R., Hoveka,J., Auste,B., Ithete,N.L., Soltys,K., Szemes,T., Drosten,C., Preiser,W., Mfune,J.K.E., Kruger,D.H.","National Center for Biotechnology Information, NIH",USA,2015-06-02T00:00:00Z,,Mammarenavirus marientalense,Mammarenavirus,6840,RefSeq,complete,L,,Namibia,Namibia,,Micaelamys namaquensis,lung,2012
NC_027137,Mammarenavirus okahandjaense,"Witkowski,P.T., Kallies,R., Hoveka,J., Auste,B., Ithete,N.L., Soltys,K., Szemes,T., Drosten,C., Preiser,W., Klempa,B., Mfune,J.K., Kruger,D.H., Mfune,J.K.E.","National Center for Biotechnology Information, NIH",USA,2015-06-02T00:00:00Z,,Mammarenavirus okahandjaense,Mammarenavirus,7170,RefSeq,complete,L,1,Namibia,Namibia,,Micaelamys namaquensis,lung,2012
NC_026246,Mammarenavirus gairoense,"Gryseels,S., Rieger,T., Oestereich,L., Cuypers,B., Borremans,B., Makundi,R., Leirs,H., Gunther,S., Gouy de Bellocq,J.","National Center for Biotechnology Information, NIH",USA,2015-01-23T00:00:00Z,TZ-27421_S,Mammarenavirus gairoense,Mammarenavirus,3345,RefSeq,complete,S,1,Tanzania: Majawanga,Tanzania,,Mastomys natalensis,,2012-08-25
NC_026247,Mammarenavirus gairoense,"Gryseels,S., Rieger,T., Oestereich,L., Cuypers,B., Borremans,B., Makundi,R., Leirs,H., Gunther,S., Gouy de Bellocq,J.","National Center for Biotechnology Information, NIH",USA,2015-01-23T00:00:00Z,TZ-27421_L,Mammarenavirus gairoense,Mammarenavirus,7264,RefSeq,complete,L,1,Tanzania: Majawanga,Tanzania,,Mastomys natalensis,,2012-08-25
NC_026018,Mammarenavirus wenzhouense,"Li,K., Lin,X.D., Wang,W., Shi,M., Guo,W.P., Zhang,X.H., Xing,J.G., He,J.R., Wang,K., Li,M.H., Cao,J.H., Jiang,M.L., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Zhang,Y.-Z.","National Center for Biotechnology Information, NIH",USA,2015-01-07T00:00:00Z,Rn-242,Mammarenavirus wenzhouense,Mammarenavirus,3337,RefSeq,complete,S,1,China,China,,Rattus norvegicus,,2013
NC_026019,Mammarenavirus wenzhouense,"Li,K., Lin,X.D., Wang,W., Shi,M., Guo,W.P., Zhang,X.H., Xing,J.G., He,J.R., Wang,K., Li,M.H., Cao,J.H., Jiang,M.L., Holmes,E.C., Zhang,Y.Z.","National Center for Biotechnology Information, NIH",USA,2015-01-07T00:00:00Z,Rn-242,Mammarenavirus wenzhouense,Mammarenavirus,7146,RefSeq,complete,L,1,China,China,,Rattus norvegicus,,2013
NC_023763,Mammarenavirus merinoense,"Palacios,G., Savji,N., Hui,J., Travassos da Rosa,A., Popov,V., Briese,T., Tesh,R., Lipkin,W.I., Travassos da Roas,A.","National Center for Biotechnology Information, NIH",USA,2014-03-12T00:00:00Z,Merino Walk,Mammarenavirus merinoense,Mammarenavirus,7198,RefSeq,complete,L,1,"South Africa: Merino Walk, Eastern Cape",South Africa,,Myotomys unisulcatus,,1985
NC_023764,Mammarenavirus merinoense,"Palacios,G., Savji,N., Hui,J., Travassos da Rosa,A., Popov,V., Briese,T., Tesh,R., Lipkin,W.I., Travassos da Roas,A.","National Center for Biotechnology Information, NIH",USA,2014-03-12T00:00:00Z,Merino Walk,Mammarenavirus merinoense,Mammarenavirus,3364,RefSeq,complete,S,1,"South Africa: Merino Walk, Eastern Cape",South Africa,,Myotomys unisulcatus,,1985
NC_018710,Lunk virus NKS-1,"Ishii,A., Thomas,Y., Moonga,L., Nakamura,I., Ohnuma,A., Hang'ombe,B.M., Takada,A., Mweene,A.S., Sawa,H.","National Center for Biotechnology Information, NIH",USA,2012-10-04T00:00:00Z,,Mammarenavirus lunkense,Mammarenavirus,3419,RefSeq,complete,S,1,Zambia:Lusaka,Zambia,,Mus minutoides,kidney,2010-08-10
NC_018711,Lunk virus NKS-1,"Ishii,A., Thomas,Y., Moonga,L., Nakamura,I., Ohnuma,A., Hang'ombe,B.M., Takada,A., Mweene,A.S., Sawa,H.","National Center for Biotechnology Information, NIH",USA,2012-10-04T00:00:00Z,,Mammarenavirus lunkense,Mammarenavirus,7195,RefSeq,complete,L,1,Zambia:Lusaka,Zambia,,Mus minutoides,kidney,2010-08-10
NC_016152,Mammarenavirus lunaense,"Ishii,A., Thomas,Y., Moonga,L., Nakamura,I., Ohnuma,A., Hang'ombe,B., Takada,A., Mweene,A., Sawa,H.","National Center for Biotechnology Information, NIH",USA,2011-11-08T00:00:00Z,,Mammarenavirus lunaense,Mammarenavirus,3377,RefSeq,complete,S,1,Zambia:Lusaka,Zambia,,Mastomys natalensis,kidney,2009-08-12
NC_016153,Mammarenavirus lunaense,"Ishii,A., Thomas,Y., Moonga,L., Nakamura,I., Ohnuma,A., Hang'ombe,B., Takada,A., Mweene,A., Sawa,H.","National Center for Biotechnology Information, NIH",USA,2011-11-08T00:00:00Z,,Mammarenavirus lunaense,Mammarenavirus,7230,RefSeq,complete,L,1,Zambia:Lusaka,Zambia,,Mastomys natalensis,kidney,2009-08-12
NC_013057,Morogoro mammarenavirus,"Gunther,S., Hoofd,G., Charrel,R., Roser,C., Becker-Ziaja,B., Lloyd,G., Sabuni,C., Verhagen,R., van der Groen,G., Kennis,J., Katakweba,A., Machang'u,R., Makundi,R., Leirs,H.","National Center for Biotechnology Information, NIH",USA,2009-08-04T00:00:00Z,,Mammarenavirus mopeiaense,Mammarenavirus,3383,RefSeq,complete,S,1,Tanzania: Morogoro,Tanzania,,Mastomys natalensis,,2004
NC_013058,Morogoro mammarenavirus,"Gunther,S., Hoofd,G., Charrel,R., Roser,C., Becker-Ziaja,B., Lloyd,G., Sabuni,C., Verhagen,R., van der Groen,G., Kennis,J., Katakweba,A., Machang'u,R., Makundi,R., Leirs,H.","National Center for Biotechnology Information, NIH",USA,2009-08-04T00:00:00Z,,Mammarenavirus mopeiaense,Mammarenavirus,7207,RefSeq,complete,L,1,Tanzania: Morogoro,Tanzania,,Mastomys natalensis,,2004
NC_010756,Parana virus,"Archer,A.M., Rico-Hesse,R.","National Center for Biotechnology Information, NIH",USA,2008-05-23T00:00:00Z,,Mammarenavirus paranaense,Mammarenavirus,3406,RefSeq,complete,S,1,,,,,,
NC_010757,Mammarenavirus flexalense,"Charrel,R.N., de Lamballerie,X., Emonet,S., Feldmann,H., Fulhorst,C.F., Khelifa,R., de Chesse,R.","National Center for Biotechnology Information, NIH",USA,2008-05-22T00:00:00Z,,Mammarenavirus flexalense,Mammarenavirus,3410,RefSeq,complete,S,2,,,,,,
NC_010758,Mammarenavirus latinum,"Charrel,R.N., de Lamballerie,X., Emonet,S., Feldmann,H., Fulhorst,C.F., Khelifa,R., de Chesse,R.","National Center for Biotechnology Information, NIH",USA,2008-05-22T00:00:00Z,,Mammarenavirus latinum,Mammarenavirus,3474,RefSeq,complete,S,2,,,,,,
NC_010759,Mammarenavirus flexalense,"Charrel,R.N., de Lamballerie,X., Emonet,S., Emonet,S.F., de Lamballerie,X.N.","National Center for Biotechnology Information, NIH",USA,2008-05-22T00:00:00Z,,Mammarenavirus flexalense,Mammarenavirus,7038,RefSeq,complete,L,1,Brazil,Brazil,,,,
NC_010760,Mammarenavirus latinum,"Charrel,R.N., de Lamballerie,X., Emonet,S., Emonet,S.F., de Lamballerie,X.N.","National Center for Biotechnology Information, NIH",USA,2008-05-22T00:00:00Z,,Mammarenavirus latinum,Mammarenavirus,7174,RefSeq,complete,L,1,Bolivia,Bolivia,,,,
NC_010761,Parana virus,"Charrel,R.N., de Lamballerie,X., Emonet,S., Emonet,S.F., de Lamballerie,X.N.","National Center for Biotechnology Information, NIH",USA,2008-05-22T00:00:00Z,,Mammarenavirus paranaense,Mammarenavirus,7088,RefSeq,complete,L,1,Paraguay,Paraguay,,,,
NC_010701,Mammarenavirus tamiamiense,"Archer,A.M., Rico-Hesse,R.","National Center for Biotechnology Information, NIH",USA,2008-05-20T00:00:00Z,,Mammarenavirus tamiamiense,Mammarenavirus,3533,RefSeq,complete,S,1,,,,,,
NC_010700,Mammarenavirus whitewaterense,"Charrel,R.N., de Lamballerie,X., Emonet,S., Fulhorst,C.F.","National Center for Biotechnology Information, NIH",USA,2008-05-19T00:00:00Z,,Mammarenavirus whitewaterense,Mammarenavirus,3316,RefSeq,complete,S,2,,,,,,
NC_010702,Mammarenavirus tamiamiense,"Cajimat,M.N., Milazzo,M.L., Hess,B.D., Rood,M.P., Fulhorst,C.F., Cajimat,M.N.B.","National Center for Biotechnology Information, NIH",USA,2008-05-19T00:00:00Z,,Mammarenavirus tamiamiense,Mammarenavirus,7141,RefSeq,complete,L,1,USA: Florida,USA,FL,Sigmodon hispidus,,
NC_010703,Mammarenavirus whitewaterense,"Cajimat,M.N., Milazzo,M.L., Hess,B.D., Rood,M.P., Fulhorst,C.F., Cajimat,M.N.B.","National Center for Biotechnology Information, NIH",USA,2008-05-19T00:00:00Z,,Mammarenavirus whitewaterense,Mammarenavirus,7132,RefSeq,complete,L,1,USA: New Mexico,USA,NM,Neotoma albigula,,
NC_010247,Amapari virus,"Archer,A.M., Rico-Hesse,R.","National Center for Biotechnology Information, NIH",USA,2008-01-14T00:00:00Z,,Mammarenavirus amapariense,Mammarenavirus,3341,RefSeq,complete,S,1,,,,,,
NC_010253,Mammarenavirus allpahuayoense,"Moncayo,A.C., Hice,C.L., Watts,D.M., Travassos de Rosa,A.P.A., Guzman,H., Russell,K.L., Calampa,C., Gozalo,A., Popov,V.L., Weaver,S.C., Tesh,R.B.","National Center for Biotechnology Information, NIH",USA,2008-01-14T00:00:00Z,,Mammarenavirus allpahuayoense,Mammarenavirus,3343,RefSeq,complete,S,1,Peru: Northeast,Peru,,Oecomys bicolor,,
NC_010248,Mammarenavirus oliverosense,"Bowen,M.D., Peters,C.J., Mills,J.N., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2008-01-11T00:00:00Z,,Mammarenavirus oliverosense,Mammarenavirus,3535,RefSeq,complete,S,1,,,,,,
NC_010249,Mammarenavirus allpahuayoense,"Charrel,R.N., Lemasson,J.J., Garbutt,M., Khelifa,R., De Micco,P., Feldmann,H., de Lamballerie,X., Emonet,S., de Micco,P., Lemasson,J.-J.","Universite de la Mediterranee, Unite des Virus Emergents (EA3292, IFR48, IRD UR034)",France,2008-01-11T00:00:00Z,,Mammarenavirus allpahuayoense,Mammarenavirus,7053,RefSeq,complete,L,1,Peru,Peru,,,,
NC_010250,Mammarenavirus oliverosense,"Charrel,R.N., Lemasson,J.J., Garbutt,M., Khelifa,R., De Micco,P., Feldmann,H., de Lamballerie,X., Emonet,S., de Micco,P., Lemasson,J.-J.","National Center for Biotechnology Information, NIH",USA,2008-01-11T00:00:00Z,,Mammarenavirus oliverosense,Mammarenavirus,7184,RefSeq,complete,L,1,Argentina,Argentina,,,,
NC_010251,Amapari virus,"Charrel,R.N., Lemasson,J.J., Garbutt,M., Khelifa,R., De Micco,P., Feldmann,H., de Lamballerie,X., Emonet,S., de Micco,P., Lemasson,J.-J.","National Center for Biotechnology Information, NIH",USA,2008-01-11T00:00:00Z,,Mammarenavirus amapariense,Mammarenavirus,7046,RefSeq,complete,L,1,Brazil,Brazil,,,,
NC_010252,Mammarenavirus cupixiense,"Charrel,R.N., Lemasson,J.J., Garbutt,M., Khelifa,R., De Micco,P., Feldmann,H., de Lamballerie,X., Emonet,S., de Micco,P., Lemasson,J.-J.","National Center for Biotechnology Information, NIH",USA,2008-01-11T00:00:00Z,,Mammarenavirus cupixiense,Mammarenavirus,7106,RefSeq,complete,L,1,Brazil,Brazil,,,,
NC_010254,Mammarenavirus cupixiense,"Charrel,R.N., de Lamballerie,X., Emonet,S., Feldmann,H., Fulhorst,C.F., Khelifa,R., de Chesse,R.","National Center for Biotechnology Information, NIH",USA,2008-01-11T00:00:00Z,,Mammarenavirus cupixiense,Mammarenavirus,3332,RefSeq,complete,S,2,,,,,,
NC_010255,Mammarenavirus bearense,"Cajimat,M.N., Milazzo,M.L., Hess,B.D., Rood,M.P., Fulhorst,C.F., Cajimat,M.N.B.","National Center for Biotechnology Information, NIH",USA,2008-01-11T00:00:00Z,,Mammarenavirus bearense,Mammarenavirus,7102,RefSeq,complete,L,1,USA: southern California,USA,CA,Peromyscus californicus,,
NC_010256,Mammarenavirus bearense,"Cajimat,M.N., Milazzo,M.L., Hess,B.D., Rood,M.P., Fulhorst,C.F., Cajimat,M.N.B.","National Center for Biotechnology Information, NIH",USA,2008-01-11T00:00:00Z,,Mammarenavirus bearense,Mammarenavirus,3339,RefSeq,complete,S,1,USA: southern California,USA,CA,Peromyscus californicus,,
NC_007903,Mammarenavirus praomyidis,"Charrel,R.N., de Lamballerie,X., Emonet,S., Lemasson,J.J., Gonzalez,J.P., Lemasson,J.-J., Gonzalez,J.-P., Charrel,R.","National Center for Biotechnology Information, NIH",USA,2006-03-16T00:00:00Z,,Mammarenavirus praomyidis,Mammarenavirus,3380,RefSeq,complete,S,2,,,,,,
NC_007904,Mammarenavirus praomyidis,"Charrel,R.N., de Lamballerie,X., Emonet,S., Lemasson,J.J., Gonzalez,J.P., Lemasson,J.-J., Gonzalez,J.-P., Charrel,R.","National Center for Biotechnology Information, NIH",USA,2006-03-16T00:00:00Z,,Mammarenavirus praomyidis,Mammarenavirus,7325,RefSeq,complete,L,2,,,,,,
NC_007905,Mammarenavirus ippyense,"Charrel,R.N., de Lamballerie,X., Emonet,S., Lemasson,J.J., Gonzalez,J.P., Lemasson,J.-J., Gonzalez,J.-P., Charrel,R.","National Center for Biotechnology Information, NIH",USA,2006-03-16T00:00:00Z,,Mammarenavirus ippyense,Mammarenavirus,3366,RefSeq,complete,S,2,,,,,,
NC_007906,Mammarenavirus ippyense,"Charrel,R.N., de Lamballerie,X., Emonet,S., Lemasson,J.J., Gonzalez,J.P., Lemasson,J.-J., Gonzalez,J.-P., Charrel,R.","National Center for Biotechnology Information, NIH",USA,2006-03-16T00:00:00Z,,Mammarenavirus ippyense,Mammarenavirus,7316,RefSeq,complete,L,2,,,,,,
NC_006574,Mopeia virus AN20410,"Lukashevich,I.S., Carrion,R., Moshkoff,D.A., Ticer,A., Brasky,K., Hubbard,G.B., Patterson,J., Bryant,J., Salvato,M.S., Sadzewicz,L., Pauza,D.C.","National Center for Biotechnology Information, NIH",USA,2004-12-17T00:00:00Z,,Mammarenavirus mopeiaense,Mammarenavirus,7271,RefSeq,complete,L,,Mozambique,Mozambique,,,,
NC_006575,Mopeia virus AN20410,"Lukashevich,I.S., Carrion,R., Moshkoff,D.A., Ticer,A., Brasky,K., Hubbard,G.B., Patterson,J., Bryant,J., Salvato,M.S., Sadzewicz,L., Pauza,D.C.","National Center for Biotechnology Information, NIH",USA,2004-12-17T00:00:00Z,,Mammarenavirus mopeiaense,Mammarenavirus,3427,RefSeq,complete,S,,Mozambique,Mozambique,,,,
NC_006439,Pichinde virus,"Zhang,L., Marriott,K.A., Harnish,D.G., Aronson,J.F., Zheng,S., Polyak,S., Scheid,E.E.","National Center for Biotechnology Information, NIH",USA,2004-11-16T00:00:00Z,,Mammarenavirus caliense,Mammarenavirus,6997,RefSeq,complete,L RNA,1,,,,,,
NC_006447,Pichinde virus,"Auperin,D.D., Romanowski,V., Galinski,M., Bishop,D.H.","National Center for Biotechnology Information, NIH",USA,2004-11-13T00:00:00Z,,Mammarenavirus caliense,Mammarenavirus,3419,RefSeq,complete,S,1,,,,,,
NC_006313,Sabia virus,"Bowen,M.D., Thurman,K., Minor,E., Meyer,R.F., Malfatti,S.A., Do,L.H., Smith,K.L., McCready,P.M., Chain,P.S.G.","National Center for Biotechnology Information, NIH",USA,2004-09-24T00:00:00Z,,Mammarenavirus brazilense,Mammarenavirus,7133,RefSeq,complete,L,,,,,,,
NC_006317,Sabia virus,"Gonzalez,J.P., Bowen,M.D., Nichol,S.T., Rico-Hesse,R., Gonzalez,J.P.J.","National Center for Biotechnology Information, NIH",USA,2004-09-24T00:00:00Z,,Mammarenavirus brazilense,Mammarenavirus,3366,RefSeq,complete,,1,,,,,,
NC_005894,Mammarenavirus piritalense,"Archer,A.M., Rico-Hesse,R.","National Center for Biotechnology Information, NIH",USA,2004-06-14T00:00:00Z,,Mammarenavirus piritalense,Mammarenavirus,3393,RefSeq,complete,S,1,,,,,,
NC_005897,Mammarenavirus piritalense,"Cajimat,M.N., Fulhorst,C.F., Cajimat,M.N.B.","National Center for Biotechnology Information, NIH",USA,2004-06-14T00:00:00Z,,Mammarenavirus piritalense,Mammarenavirus,7089,RefSeq,complete,L,1,Venezuela,Venezuela,,Sigmodon alstoni,,
NC_005077,Mammarenavirus guanaritoense,"Charrel,R.N., Feldmann,H., Fulhorst,C.F., Khelifa,R., de Chesse,R., de Lamballerie,X.","National Center for Biotechnology Information, NIH",USA,2003-08-30T00:00:00Z,,Mammarenavirus guanaritoense,Mammarenavirus,3343,RefSeq,complete,S,1,,,,,,
NC_005078,Mammarenavirus machupoense,"Charrel,R.N., Feldmann,H., Fulhorst,C.F., Khelifa,R., de Chesse,R., de Lamballerie,X.","National Center for Biotechnology Information, NIH",USA,2003-08-30T00:00:00Z,,Mammarenavirus machupoense,Mammarenavirus,3439,RefSeq,complete,S,1,,,,,,
NC_005079,Mammarenavirus machupoense,"Bowen,M.D., Thurman,K., Minor,E., Meyer,R.F., Malfatti,S.A., Do,L.H., Smith,K.L., McCready,P.M., Chain,P.S.G.","National Center for Biotechnology Information, NIH",USA,2003-08-30T00:00:00Z,,Mammarenavirus machupoense,Mammarenavirus,7196,RefSeq,complete,L,,,,,,,
NC_005080,Mammarenavirus juninense,"Bowen,M.D., Thurman,K., Minor,E., Meyer,R.F., Malfatti,S.A., Do,L.H., Smith,K.L., McCready,P.M., Chain,P.S.G.","National Center for Biotechnology Information, NIH",USA,2003-08-30T00:00:00Z,,Mammarenavirus juninense,Mammarenavirus,7114,RefSeq,complete,L,,,,,,,
