ID,Trap number,Latitude ,Longitude,Elevation
221,E0021,51.26853101,23.99475502,180.259628
222,E0022,51.26845297,23.99482903,181.304672
223,E0023,51.26834803,23.99482098,180.931442
224,E0024,51.26825801,23.99488402,181.50061
225,E0025,51.26821199,23.99494101,182.219086
226,F0001,51.26815198,23.99247204,182.554977
227,F0002,51.26814603,23.99235897,181.18338
228,F0003,51.26812901,23.99229803,179.830429
229,F0004,51.26815701,23.99222502,181.118057
230,F0005,51.26819297,23.99214397,181.230026
231,F0006,51.26821803,23.99202696,180.828812
232,F0007,51.26822398,23.99182898,180.604874
233,F0008,51.26823496,23.99169101,181.444626
234,F0009,51.26823898,23.99151399,181.313995
235,F0010,51.26826304,23.99142397,182.088455
236,F0011,51.2683,23.99130201,181.509949
237,F0012,51.26833898,23.99120403,181.220703
238,F0013,51.268356,23.99106698,181.015427
239,F0014,51.26836798,23.99097,181.556595
240,F0015,51.26840101,23.99085701,181.565933
241,F0016,51.26843898,23.99071997,181.537933
242,F0017,51.26845297,23.99059298,180.856796
243,F0018,51.26847301,23.99047899,179.102631
244,F0019,51.26846999,23.99037204,181.761871
245,F0020,51.268486,23.99025897,179.643814
246,F0021,51.26849203,23.99014204,179.811768
247,F0022,51.26852104,23.99001304,180.250305
248,F0023,51.26854601,23.98986703,180.007706
249,F0024,51.26854501,23.989689,181.77121
250,F0025,51.26856999,23.98957601,180.819473
251,G0001,51.26678296,23.99399998,180.007706
252,G0002,51.26678699,23.99415999,180.007706
253,G0003,51.26684097,23.99434598,180.007706
254,G0004,51.26689101,23.99454103,180.007706
255,G0005,51.26693501,23.99474597,180.007706
256,G0006,51.26689302,23.99497203,180.007706
257,G0007,51.26685999,23.99513103,180.007706
258,G0008,51.26686997,23.99523497,180.007706
259,G0009,51.26682504,23.99542901,182.321716
260,G0010,51.26679998,23.99553697,182.172424
261,G0011,51.26677098,23.99570997,182.582977
262,G0012,51.26671398,23.99592304,182.853561
263,G0013,51.26666302,23.99605698,183.292114
264,G0014,51.26661398,23.99625798,183.376083
265,G0015,51.26660703,23.99640198,183.730652
266,G0016,51.26656797,23.99659904,183.898605
267,G0017,51.26651298,23.99698402,184.187851
268,G0018,51.266473,23.99722701,184.122543
269,G0019,51.26640603,23.997413,184.131866
270,G0020,51.26636202,23.99762699,184.766357
271,G0021,51.26633998,23.99774702,185.148911
272,G0022,51.26629396,23.99787904,185.400848
273,G0023,51.26625096,23.99804399,185.130249
274,G0024,51.26621903,23.99823996,185.027618
275,G0025,51.26650401,23.99673399,185.027618
276,H0001,51.266774,23.992595,180.856796
277,H0002,51.26673502,23.99247497,180.856796
278,H0003,51.26671901,23.99233198,180.856796
279,H0004,51.26672798,23.992192,180.856796
280,H0005,51.26671599,23.99205797,180.856796
281,H0006,51.26670702,23.99192504,180.856796
282,H0007,51.26668599,23.99179998,180.856796
283,H0008,51.26667299,23.99165598,180.856796
284,H0009,51.26665397,23.99151701,180.856796
285,H0010,51.26661197,23.99137996,180.856796
286,H0011,51.26659798,23.99126898,175.66893
287,H0012,51.26659001,23.99114401,180.884796
288,H0013,51.26656001,23.99099397,179.979721
289,H0014,51.266545,23.99085199,180.67952
290,H0015,51.26654198,23.99074403,180.138336
291,H0016,51.26651198,23.99062903,179.531845
292,H0017,51.26650502,23.99049701,179.167938
293,H0018,51.266501,23.99034396,179.363892
294,H0019,51.26647501,23.99020297,178.757401
295,H0020,51.26643201,23.99009502,179.046646
296,H0021,51.26637099,23.99001799,179.195938
297,H0022,51.26631299,23.98993903,179.354553
298,H0023,51.26624401,23.989833,177.842987
299,H0024,51.266185,23.98974901,177.824326
300,H0025,51.26613697,23.98965597,178.794708
301,I0001,51.26770698,23.99238998,218.422165
302,I0002,51.26766097,23.99221698,220.876129
303,I0003,51.26762501,23.99215302,220.876129
304,I0004,51.26759802,23.99203903,220.876129
305,I0005,51.26757002,23.991962,220.876129
306,I0006,51.26757497,23.99182999,220.876129
307,I0007,51.26750699,23.99175002,220.876129
308,I0008,51.26742602,23.99173301,220.876129
309,I0009,51.26735,23.99170602,221.221375
310,I0010,51.26728797,23.99170602,220.41893
311,I0011,51.26721396,23.99170501,222.089127
312,I0012,51.267164,23.99160099,220.20433
313,I0013,51.26715504,23.99141802,219.364563
314,I0014,51.26716903,23.9913,220.456253
315,I0015,51.26719502,23.99117301,220.456253
316,I0016,51.26720499,23.99105399,220.456253
317,I0017,51.26720197,23.99094201,220.456253
318,I0018,51.267164,23.99088903,220.456253
319,I0019,51.26708203,23.99091401,220.456253
320,I0020,51.26700902,23.99091703,218.888702
321,I0021,51.26693803,23.99088099,220.726837
322,I0022,51.26684801,23.990811,220.260315
323,I0023,51.26689897,23.99062802,219.140625
324,I0024,51.26694297,23.99053196,219.336578
325,I0025,51.26699796,23.99051,220.064362
