Pathogen	Positive
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Kurkino virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	1
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	1
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Seewis virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	1
Tula virus	1
Tula virus	0
Tula virus	0
Tula virus	1
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	1
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	1
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	1
Tula virus	0
Tula virus	0
Tula virus	1
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	1
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	1
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	1
Tula virus	0
Tula virus	1
Tula virus	1
Tula virus	0
Tula virus	1
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	1
Tula virus	1
Tula virus	1
Tula virus	1
Tula virus	1
Tula virus	1
Tula virus	1
Tula virus	1
Tula virus	1
Tula virus	1
Tula virus	1
Tula virus	1
Tula virus	0
Tula virus	1
Tula virus	0
Tula virus	1
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
Tula virus	0
