pathogen_record_id,associated_rodent_record_id,study_id,host_genus,associatedTaxa,locality,country,coordinate_resolution,decimalLatitude,decimalLongitude,taxonRank,family,scientificName,identificationRemarks,occurrenceRemarks,number_negative,organismQuantity,number_inconclusive,note
12,12,2,Chaetodipus,Chaetodipus californicus,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,8,8,0,0,NA
13,13,2,Chaetodipus,Chaetodipus fallax,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,2,2,0,0,NA
14,14,2,Microtus,Microtus californicus,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,16,15,1,0,NA
15,15,2,Mus,Mus musculus,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,27,27,0,0,NA
16,16,2,Neotoma,Neotoma fiscipes,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,19,19,0,0,NA
17,17,2,Neotoma,Neotoma lepida,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,34,34,0,0,NA
18,18,2,Peromyscus,Peromyscus boylii,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,6,6,0,0,NA
19,19,2,Peromyscus,Peromyscus californicus,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,111,82,29,0,NA
20,20,2,Peromyscus,Peromyscus eremicus,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,111,110,1,0,NA
21,21,2,Peromyscus,Peromyscus maniculatus,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,431,385,46,0,NA
22,22,2,Reithrodontomys,Reithrodontomys megalotis,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,184,150,34,0,NA
23,23,2,Rattus,Rattus rattus,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
24,24,2,Rattus,Rattus norvegicus,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
25,25,2,Spermophilus,Spermophilus beecheyi,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
26,26,2,Thomomys,Thomomys bottae,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,1,1,0,0,NA
27,27,2,Chaetodipus,Chaetodipus californicus,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,4,4,0,0,NA
28,28,2,Chaetodipus,Chaetodipus fallax,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
29,29,2,Microtus,Microtus californicus,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,1,1,0,0,NA
30,30,2,Mus,Mus musculus,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,1,1,0,0,NA
31,31,2,Neotoma,Neotoma fiscipes,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,61,61,0,0,NA
32,32,2,Neotoma,Neotoma lepida,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,22,22,0,0,NA
33,33,2,Peromyscus,Peromyscus boylii,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,31,31,0,0,NA
34,34,2,Peromyscus,Peromyscus californicus,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,76,76,0,0,NA
35,35,2,Peromyscus,Peromyscus eremicus,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,23,23,0,0,NA
36,36,2,Peromyscus,Peromyscus maniculatus,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,74,71,3,0,NA
37,37,2,Reithrodontomys,Reithrodontomys megalotis,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,15,13,2,0,NA
38,38,2,Rattus,Rattus rattus,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,1,1,0,0,NA
39,39,2,Rattus,Rattus norvegicus,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
40,40,2,Spermophilus,Spermophilus beecheyi,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,3,3,0,0,NA
41,41,2,Thomomys,Thomomys bottae,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
42,42,2,Chaetodipus,Chaetodipus californicus,Southern California,USA,study region,33.446953,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
43,43,2,Chaetodipus,Chaetodipus fallax,Southern California,USA,study region,33.4469529999999,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
44,44,2,Microtus,Microtus californicus,Southern California,USA,study region,33.4469529999999,-117.622952,family,Hantaviridae,NA,antibody,2,2,0,0,NA
45,45,2,Mus,Mus musculus,Southern California,USA,study region,33.4469529999999,-117.622952,family,Hantaviridae,NA,antibody,32,32,0,0,NA
46,46,2,Neotoma,Neotoma fiscipes,Southern California,USA,study region,33.4469529999999,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
47,47,2,Neotoma,Neotoma lepida,Southern California,USA,study region,33.4469529999999,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
48,48,2,Peromyscus,Peromyscus boylii,Southern California,USA,study region,33.4469529999999,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
49,49,2,Peromyscus,Peromyscus californicus,Southern California,USA,study region,33.4469529999999,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
50,50,2,Peromyscus,Peromyscus eremicus,Southern California,USA,study region,33.4469529999999,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
51,51,2,Peromyscus,Peromyscus maniculatus,Southern California,USA,study region,33.4469529999999,-117.622952,family,Hantaviridae,NA,antibody,44,44,0,0,NA
52,52,2,Reithrodontomys,Reithrodontomys megalotis,Southern California,USA,study region,33.4469529999999,-117.622952,family,Hantaviridae,NA,antibody,14,14,0,0,NA
53,53,2,Rattus,Rattus rattus,Southern California,USA,study region,33.4469529999999,-117.622952,family,Hantaviridae,NA,antibody,6,6,0,0,NA
54,54,2,Rattus,Rattus norvegicus,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
55,55,2,Spermophilus,Spermophilus beecheyi,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
56,56,2,Thomomys,Thomomys bottae,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
57,57,2,Chaetodipus,Chaetodipus californicus,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,2,2,0,0,NA
58,58,2,Chaetodipus,Chaetodipus fallax,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
59,59,2,Microtus,Microtus californicus,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,1,1,0,0,NA
60,60,2,Mus,Mus musculus,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,12,12,0,0,NA
61,61,2,Neotoma,Neotoma fiscipes,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,3,3,0,0,NA
62,62,2,Neotoma,Neotoma lepida,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,11,11,0,0,NA
63,63,2,Peromyscus,Peromyscus boylii,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
64,64,2,Peromyscus,Peromyscus californicus,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
65,65,2,Peromyscus,Peromyscus eremicus,Southern California,USA,study region,33.4469529999997,-117.622952,family,Hantaviridae,NA,antibody,16,16,0,0,NA
66,66,2,Peromyscus,Peromyscus maniculatus,Southern California,USA,study region,33.4469529999997,-117.622952,family,Hantaviridae,NA,antibody,147,133,14,0,NA
67,67,2,Reithrodontomys,Reithrodontomys megalotis,Southern California,USA,study region,33.4469529999997,-117.622952,family,Hantaviridae,NA,antibody,45,42,3,0,NA
68,68,2,Rattus,Rattus rattus,Southern California,USA,study region,33.4469529999997,-117.622952,family,Hantaviridae,NA,antibody,5,5,0,0,NA
69,69,2,Rattus,Rattus norvegicus,Southern California,USA,study region,33.4469529999997,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
70,70,2,Spermophilus,Spermophilus beecheyi,Southern California,USA,study region,33.4469529999997,-117.622952,family,Hantaviridae,NA,antibody,2,2,0,0,NA
71,71,2,Thomomys,Thomomys bottae,Southern California,USA,study region,33.4469529999997,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
72,72,2,Chaetodipus,Chaetodipus californicus,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,6,0,0,0,NA
73,73,2,Chaetodipus,Chaetodipus fallax,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
74,74,2,Microtus,Microtus californicus,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,20,16,4,0,NA
75,75,2,Mus,Mus musculus,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,65,65,0,0,NA
76,76,2,Neotoma,Neotoma fiscipes,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,4,4,0,0,NA
77,77,2,Neotoma,Neotoma lepida,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,21,21,0,0,NA
78,78,2,Peromyscus,Peromyscus boylii,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,3,3,0,0,NA
79,79,2,Peromyscus,Peromyscus californicus,Southern California,USA,study region,33.4469529999998,-117.622952,family,Hantaviridae,NA,antibody,22,21,1,0,NA
80,80,2,Peromyscus,Peromyscus eremicus,Southern California,USA,study region,33.4469529999997,-117.622952,family,Hantaviridae,NA,antibody,25,25,0,0,NA
81,81,2,Peromyscus,Peromyscus maniculatus,Southern California,USA,study region,33.4469529999997,-117.622952,family,Hantaviridae,NA,antibody,198,175,23,0,NA
82,82,2,Reithrodontomys,Reithrodontomys megalotis,Southern California,USA,study region,33.4469529999997,-117.622952,family,Hantaviridae,NA,antibody,146,136,10,0,NA
83,83,2,Rattus,Rattus rattus,Southern California,USA,study region,33.4469529999997,-117.622952,family,Hantaviridae,NA,antibody,41,41,0,0,NA
84,84,2,Rattus,Rattus norvegicus,Southern California,USA,study region,33.4469529999997,-117.622952,family,Hantaviridae,NA,antibody,2,2,0,0,NA
85,85,2,Spermophilus,Spermophilus beecheyi,Southern California,USA,study region,33.4469529999997,-117.622952,family,Hantaviridae,NA,antibody,14,14,0,0,NA
86,86,2,Thomomys,Thomomys bottae,Southern California,USA,study region,33.4469529999997,-117.622952,family,Hantaviridae,NA,antibody,0,0,0,0,NA
87,87,3,Apodemus,Apodemus agrarius,Kosice region,Slovakia,country region,48.719,21.2611,species,Hantaviridae,Dobrava-Belgrade orthohantavirus,antibody,306,264,42,0,NA
88,88,3,Apodemus,Apodemus flavicollis,Kosice region,Slovakia,country region,48.719,21.2611,species,Hantaviridae,Dobrava-Belgrade orthohantavirus,antibody,55,53,2,0,NA
89,89,3,Apodemus,Apodemus flavicollis,"Malacky region, Danube lowland",Slovakia,country region,48.0466,17.348020000000002,species,Hantaviridae,Dobrava-Belgrade orthohantavirus,antibody,NA,NA,0,NA,NA
90,87,3,Apodemus,Apodemus agrarius,Kosice region,Slovakia,country region,48.719,21.2611,species,Hantaviridae,Dobrava-Belgrade orthohantavirus,pcr,42,34,8,0,NA
91,88,3,Apodemus,Apodemus flavicollis,Kosice region,Sweden,country region,48.719,21.2611,species,Hantaviridae,Dobrava-Belgrade orthohantavirus,pcr,2,1,1,0,NA
92,91,4,Clethrionomys,Clethrionomys glareolus,Vasterbotten country,Sweden,county region,63.8258,20.263,species,Hantaviridae,Puumala virus,antibody,2173,1791,382,0,NA
93,92,5,Apodemus,Apodemus flavicollis,"Macka, Trabzon Province",Turkey,study village,40.75,39.616,species,Arenaviridae,Lymphocytic choriomeningitis virus,antibody,3,3,0,0,NA
94,93,5,Apodemus,Apodemus mystacinus,"Macka, Trabzon Province",Turkey,study village,40.75,39.616,species,Arenaviridae,Lymphocytic choriomeningitis virus,antibody,10,10,0,0,NA
95,94,5,Apodemus,Apodemus sylvaticus s.l.,"Macka, Trabzon Province",Turkey,study village,40.75,39.616,species,Arenaviridae,Lymphocytic choriomeningitis virus,antibody,72,70,2,0,NA
96,95,5,Microtus,Microtus roberti,"Macka, Trabzon Province",Turkey,study village,40.75,39.616,species,Arenaviridae,Lymphocytic choriomeningitis virus,antibody,4,4,0,0,NA
97,96,5,Microtus,Microtus rossiaemeridonalis,"Camlihemsin, Rize Province",Turkey,study village,40.75,39.616,species,Arenaviridae,Lymphocytic choriomeningitis virus,antibody,8,7,1,0,NA
98,97,5,Apodemus,Apodemus flavicollis,"Camlihemsin, Rize Province",Turkey,study village,41,41.05,species,Arenaviridae,Lymphocytic choriomeningitis virus,antibody,28,27,1,0,NA
99,98,5,Apodemus,Apodemus mystacinus,"Camlihemsin, Rize Province",Turkey,study village,41,41.05,species,Arenaviridae,Lymphocytic choriomeningitis virus,antibody,10,9,1,0,NA
100,99,5,Apodemus,Apodemus sylvaticus s.l.,"Camlihemsin, Rize Province",Turkey,study village,41,41.05,species,Arenaviridae,Lymphocytic choriomeningitis virus,antibody,82,81,1,0,NA
101,100,5,Dryomys,Dryomys nitedula,"Camlihemsin, Rize Province",Turkey,study village,41,41.05,species,Arenaviridae,Lymphocytic choriomeningitis virus,antibody,1,1,0,0,NA
102,101,5,Microtus,Microtus roberti,"Camlihemsin, Rize Province",Turkey,study village,41,41.05,species,Arenaviridae,Lymphocytic choriomeningitis virus,antibody,11,10,1,0,NA
103,102,5,Microtus,Microtus rossiaemeridonalis,"Odemis, Izmir Province",Turkey,study village,41,41.05,species,Arenaviridae,Lymphocytic choriomeningitis virus,antibody,7,7,0,0,NA
104,103,5,Apodemus,Apodemus flavicollis,"Odemis, Izmir Province",Turkey,study village,41.0167,40.983,species,Arenaviridae,Lymphocytic choriomeningitis virus,antibody,0,0,0,0,NA
105,104,5,Apodemus,Apodemus mystacinus,"Odemis, Izmir Province",Turkey,study village,41.0167,40.983,species,Arenaviridae,Lymphocytic choriomeningitis virus,antibody,7,7,0,0,NA
106,105,5,Apodemus,Apodemus sylvaticus s.l.,"Odemis, Izmir Province",Turkey,study village,41.0167,40.983,species,Arenaviridae,Lymphocytic choriomeningitis virus,antibody,52,51,1,0,NA
107,106,5,Microtus,Microtus guentheri lydius,"Odemis, Izmir Province",Turkey,study village,41.0167,40.983,species,Arenaviridae,Lymphocytic choriomeningitis virus,antibody,25,25,0,0,NA
108,107,5,Microtus,Microtus roberti,"Odemis, Izmir Province",Turkey,study village,41.0167,40.983,species,Arenaviridae,Lymphocytic choriomeningitis virus,antibody,1,1,0,0,NA
109,108,5,Microtus,Microtus rossiaemeridonalis,"Odemis, Izmir Province",Turkey,study village,41.0167,40.983,species,Arenaviridae,Lymphocytic choriomeningitis virus,antibody,9,9,0,0,NA
110,92,5,Apodemus,Apodemus flavicollis,"Macka, Trabzon Province",Turkey,study village,40.75,39.616,family,Hantaviridae,Puumala virus/Saaremaa virus,antibody,3,3,0,0,NA
111,93,5,Apodemus,Apodemus mystacinus,"Macka, Trabzon Province",Turkey,study village,40.75,39.616,family,Hantaviridae,Puumala virus/Saaremaa virus,antibody,10,10,0,0,NA
112,94,5,Apodemus,Apodemus sylvaticus s.l.,"Macka, Trabzon Province",Turkey,study village,40.75,39.616,family,Hantaviridae,Puumala virus/Saaremaa virus,antibody,72,72,0,0,NA
113,95,5,Microtus,Microtus roberti,"Macka, Trabzon Province",Turkey,study village,40.75,39.616,family,Hantaviridae,Puumala virus/Saaremaa virus,antibody,4,3,1,0,NA
114,96,5,Microtus,Microtus rossiaemeridonalis,"Camlihemsin, Rize Province",Turkey,study village,40.75,39.616,family,Hantaviridae,Puumala virus/Saaremaa virus,antibody,8,6,2,0,NA
115,97,5,Apodemus,Apodemus flavicollis,"Camlihemsin, Rize Province",Turkey,study village,41,41.05,family,Hantaviridae,Puumala virus/Saaremaa virus,antibody,28,28,0,0,NA
116,98,5,Apodemus,Apodemus mystacinus,"Camlihemsin, Rize Province",Turkey,study village,41,41.05,family,Hantaviridae,Puumala virus/Saaremaa virus,antibody,10,10,0,0,NA
117,99,5,Apodemus,Apodemus sylvaticus s.l.,"Camlihemsin, Rize Province",Turkey,study village,41,41.05,family,Hantaviridae,Puumala virus/Saaremaa virus,antibody,82,82,0,0,NA
118,100,5,Dryomys,Dryomys nitedula,"Camlihemsin, Rize Province",Turkey,study village,41,41.05,family,Hantaviridae,Puumala virus/Saaremaa virus,antibody,1,1,0,0,NA
119,101,5,Microtus,Microtus roberti,"Camlihemsin, Rize Province",Turkey,study village,41,41.05,family,Hantaviridae,Puumala virus/Saaremaa virus,antibody,11,11,0,0,NA
120,102,5,Microtus,Microtus rossiaemeridonalis,"Odemis, Izmir Province",Turkey,study village,41,41.05,family,Hantaviridae,Puumala virus/Saaremaa virus,antibody,7,7,0,0,NA
121,103,5,Apodemus,Apodemus flavicollis,"Odemis, Izmir Province",Turkey,study village,41.0167,40.983,family,Hantaviridae,Puumala virus/Saaremaa virus,antibody,0,0,0,0,NA
122,104,5,Apodemus,Apodemus mystacinus,"Odemis, Izmir Province",Turkey,study village,41.0167,40.983,family,Hantaviridae,Puumala virus/Saaremaa virus,antibody,7,7,0,0,NA
123,105,5,Apodemus,Apodemus sylvaticus s.l.,"Odemis, Izmir Province",Turkey,study village,41.0167,40.983,family,Hantaviridae,Puumala virus/Saaremaa virus,antibody,52,52,0,0,NA
124,106,5,Microtus,Microtus guentheri lydius,"Odemis, Izmir Province",Turkey,study village,41.0167,40.983,family,Hantaviridae,Puumala virus/Saaremaa virus,antibody,25,24,1,0,NA
125,107,5,Microtus,Microtus roberti,"Odemis, Izmir Province",Turkey,study village,41.0167,40.983,family,Hantaviridae,Puumala virus/Saaremaa virus,antibody,1,1,0,0,NA
126,108,5,Microtus,Microtus rossiaemeridonalis,"Odemis, Izmir Province",Turkey,study village,41.0167,40.983,family,Hantaviridae,Puumala virus/Saaremaa virus,antibody,9,9,0,0,NA
127,109,6,Sorex,Sorex caecutiens,"Hokkaido, Honshu",Japan,country,36.204,138.252,species,Hantaviridae,Asama virus,pcr,3,3,0,0,NA
128,110,6,Sorex,Sorex gracillimus,"Hokkaido, Honshu",Japan,country,36.204,138.252,species,Hantaviridae,Asama virus,pcr,5,5,0,0,NA
129,111,6,Sorex,Sorex unguiculatus,"Hokkaido, Honshu",Japan,country,36.204,138.252,species,Hantaviridae,Asama virus,pcr,6,6,0,0,NA
130,112,6,Crocidura,Crocidura dsinezumi,"Hokkaido, Honshu",Japan,country,36.204,138.252,species,Hantaviridae,Asama virus,pcr,1,1,0,0,NA
131,113,6,Urotrichus,Urotrichis talpoides,"Hokkaido, Honshu",Japan,country,36.204,138.252,species,Hantaviridae,Asama virus,pcr,1,1,0,0,NA
132,113,6,Urotrichus,Urotrichis talpoides,Ohtani,Japan,trap locations,34.470556,136.762833,species,Hantaviridae,Asama virus,pcr,2,1,1,0,NA
133,113,6,Urotrichus,Urotrichis talpoides,Asama river,Japan,trap locations,34.470219,136.762725,species,Hantaviridae,Asama virus,pcr,3,1,2,0,NA
134,114,7,Apodemus,Apodemus agrarius,Firing point 10,Republic of Korea,study region,38.11002,127.07705,species,Hantaviridae,Hantaan virus,antibody,520,399,121,0,NA
135,115,7,Micromys,Micromys minutus,Firing point 10,Republic of Korea,study region,38.11002,127.07705,species,Hantaviridae,Hantaan virus,antibody,1,1,0,0,NA
136,116,7,Mus,Mus musculus,Firing point 10,Republic of Korea,study region,38.11002,127.07705,species,Hantaviridae,Hantaan virus,antibody,6,6,0,0,NA
137,117,7,Rattus,Rattus norvegicus,Firing point 10,Republic of Korea,study region,38.11002,127.07705,species,Hantaviridae,Hantaan virus,antibody,4,4,0,0,NA
138,118,7,Rattus,Rattus rattus,Firing point 10,Republic of Korea,study region,38.11002,127.07705,species,Hantaviridae,Hantaan virus,antibody,0,0,0,0,NA
139,119,7,Tscherskia,Tscherskia triton,Firing point 10,Republic of Korea,study region,38.11002,127.07705,species,Hantaviridae,Hantaan virus,antibody,0,0,0,0,NA
140,120,7,Microtus,Microtus fortis,Firing point 10,Republic of Korea,study region,38.11002,127.07705,species,Hantaviridae,Hantaan virus,antibody,1,1,0,0,NA
141,121,7,Myodes,Myodes regulus,Firing point 10,Republic of Korea,study region,38.11002,127.07705,species,Hantaviridae,Hantaan virus,antibody,1,1,0,0,NA
142,122,7,Crocidura,Crocidura lasiura,Firing point 10,Republic of Korea,study region,38.11002,127.07705,species,Hantaviridae,Hantaan virus,antibody,24,24,0,0,NA
143,123,7,Apodemus,Apodemus agrarius,Firing point 60,Republic of Korea,study region,38.051592,127.1069191,species,Hantaviridae,Hantaan virus,antibody,647,553,94,0,NA
144,124,7,Micromys,Micromys minutus,Firing point 60,Republic of Korea,study region,38.051592,127.1069191,species,Hantaviridae,Hantaan virus,antibody,4,3,1,0,NA
145,125,7,Mus,Mus musculus,Firing point 60,Republic of Korea,study region,38.051592,127.1069191,species,Hantaviridae,Hantaan virus,antibody,3,0,0,0,NA
146,126,7,Rattus,Rattus norvegicus,Firing point 60,Republic of Korea,study region,38.051592,127.1069191,species,Hantaviridae,Hantaan virus,antibody,11,0,0,0,NA
147,127,7,Rattus,Rattus rattus,Firing point 60,Republic of Korea,study region,38.051592,127.1069191,species,Hantaviridae,Hantaan virus,antibody,1,0,0,0,NA
148,128,7,Tscherskia,Tscherskia triton,Firing point 60,Republic of Korea,study region,38.051592,127.1069191,species,Hantaviridae,Hantaan virus,antibody,6,0,0,0,NA
149,129,7,Microtus,Microtus fortis,Firing point 60,Republic of Korea,study region,38.051592,127.1069191,species,Hantaviridae,Hantaan virus,antibody,2,0,0,0,NA
150,130,7,Myodes,Myodes regulus,Firing point 60,Republic of Korea,study region,38.051592,127.1069191,species,Hantaviridae,Hantaan virus,antibody,1,0,0,0,NA
151,131,7,Crocidura,Crocidura lasiura,Firing point 60,Republic of Korea,study region,38.051592,127.1069191,species,Hantaviridae,Hantaan virus,antibody,56,0,0,0,NA
152,132,8,Rattus,Rattus sp.,Vancouver Downtown Eastside,Canada,study region,49.283333,-123.1,species,Hantaviridae,Seoul hantavirus,antibody,553,545,6,2,NA
153,133,8,Rattus,Rattus sp.,Vancouver Downtown Eastside,Canada,study region,49.283333,-123.1,species,Hantaviridae,Seoul hantavirus,pcr,30,30,0,0,NA
154,134,9,Crocidura,Crocidura sp.,"Baoma Old Town, Bo District",Sierra Leone,study village,7.945028,-11.431461,species,Arenaviridae,Lassa mammarenavirus,antibody,42,42,0,0,NA
42200,135,9,Dasymys,Dasymys rufulus,"Baoma Old Town, Bo District",Sierra Leone,study village,7.945028,-11.431461,species,Arenaviridae,Lassa mammarenavirus,antibody,0,0,0,0,NA
42201,136,9,Grammomys,Grammomys buntingi,"Baoma Old Town, Bo District",Sierra Leone,study village,7.945028,-11.431461,species,Arenaviridae,Lassa mammarenavirus,antibody,1,1,0,0,NA
42202,137,9,Graphiurus,Graphiurus sp.,"Baoma Old Town, Bo District",Sierra Leone,study village,7.945028,-11.431461,species,Arenaviridae,Lassa mammarenavirus,antibody,1,1,0,0,NA
42203,138,9,Hybomys,Hybomys sp.,"Baoma Old Town, Bo District",Sierra Leone,study village,7.945028,-11.431461,species,Arenaviridae,Lassa mammarenavirus,antibody,0,0,0,0,NA
42204,139,9,Hylomyscus,Hylomyscus simus,"Baoma Old Town, Bo District",Sierra Leone,study village,7.945028,-11.431461,species,Arenaviridae,Lassa mammarenavirus,antibody,8,8,0,0,NA
42205,140,9,Lemniscomys,Lemniscomys striatus,"Baoma Old Town, Bo District",Sierra Leone,study village,7.945028,-11.431461,species,Arenaviridae,Lassa mammarenavirus,antibody,1,1,0,0,NA
42206,141,9,Lophuromys,Lophuromys sikapusi,"Baoma Old Town, Bo District",Sierra Leone,study village,7.945028,-11.431461,species,Arenaviridae,Lassa mammarenavirus,antibody,41,40,1,0,NA
42207,142,9,Malacomys,Malacomys edwardsi,"Baoma Old Town, Bo District",Sierra Leone,study village,7.945028,-11.431461,species,Arenaviridae,Lassa mammarenavirus,antibody,1,1,0,0,NA
42208,143,9,Mastomys,Mastomys erythroleucus,"Baoma Old Town, Bo District",Sierra Leone,study village,7.945028,-11.431461,species,Arenaviridae,Lassa mammarenavirus,antibody,4,4,0,0,NA
155,144,9,Mastomys,Mastomys natalensis,"Baoma Old Town, Bo District",Sierra Leone,study village,7.945028,-11.431461,species,Arenaviridae,Lassa mammarenavirus,antibody,60,55,5,0,NA
