record_number,full_text_id,processed,decision,reason,Key,Publication Year,Author,Title,Publication Title,ISSN,DOI,Issue,Volume,Journal Abbreviation,Country,Language,Rights,Extra,Notes,File Attachments,Link Attachments
14,ft_14,y,Include - Title/Abstract,NA,BIWDGK2T,2020,"Madai, Mónika; Németh, Viktória; Oldal, Miklós; Horváth, Győző; Herczeg, Róbert; Kelemen, Krisztina; Kemenesi, Gábor; Jakab, Ferenc",Temporal Dynamics of Two Pathogenic Hantaviruses Among Rodents in Hungary.,"Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2019.2438,3,20,Vector Borne Zoonotic Dis,Hungary,eng,NA,Place: United States PMID: 31821117,NA,NA,NA
15,ft_15,y,Include - Title/Abstract,NA,5CRKC7NS,2021,"Grobbelaar, Antoinette A.; Jardine, Jocelyn; Burt, Felicity J.; Shepherd, Alasdair J.; Shepherd, Susan P.; Leman, Patricia A.; Kemp, Alan; Braack, Lawrence E. O.; Weyer, Jacqueline; Paweska, Janusz T.; Swanepoel, Robert","Mammarenaviruses of Rodents, South Africa and Zimbabwe.",Emerging infectious diseases,1080-6059 1080-6040,10.3201/eid2712.211088,12,27,Emerg Infect Dis,"South Africa, Zimbabwe",eng,NA,Place: United States PMID: 34808083 PMCID: PMC8632164,NA,NA,NA
16,ft_16,y,Include - Title/Abstract,NA,Y9PDYYJ9,2019,"Onyuok, Samson Omondi; Hu, Ben; Li, Bei; Fan, Yi; Kering, Kelvin; Ochola, Griphin Ochieng; Zheng, Xiao-Shuang; Obanda, Vincent; Ommeh, Sheila; Yang, Xing-Lou; Agwanda, Bernard; Shi, Zheng-Li",Molecular Detection and Genetic Characterization of Novel RNA Viruses in Wild and Synanthropic Rodents and Shrews in Kenya.,Frontiers in microbiology,1664-302X,10.3389/fmicb.2019.02696,NA,10,Front Microbiol,Kenya,eng,"Copyright © 2019 Onyuok, Hu, Li, Fan, Kering, Ochola, Zheng, Obanda, Ommeh, Yang, Agwanda and Shi.",Place: Switzerland PMID: 31824465 PMCID: PMC6881279,NA,NA,NA
17,ft_17,y,Include - Title/Abstract,NA,PVS5ZTT2,2021,"Camp, Jeremy V.; Spruill-Harrell, Briana; Owen, Robert D.; Solà-Riera, Carles; Williams, Evan P.; Eastwood, Gillian; Sawyer, Aubrey M.; Jonsson, Colleen B.",Mixed Effects of Habitat Degradation and Resources on Hantaviruses in Sympatric Wild Rodent Reservoirs within a Neotropical Forest.,Viruses,1999-4915,10.3390/v13010085,1,13,Viruses,Paraguay,eng,NA,Place: Switzerland PMID: 33435494 PMCID: PMC7827808,NA,NA,NA
18,ft_18,y,Include - Title/Abstract,NA,4LYJU4AA,2022,"Loayza Mafayle, Roxana; Morales-Betoulle, Maria E.; Romero, Carla; Cossaboom, Caitlin M.; Whitmer, Shannon; Alvarez Aguilera, Carlos E.; Avila Ardaya, Cinthia; Cruz Zambrana, Mirian; Dávalos Anajia, Andrés; Mendoza Loayza, Nelly; Montaño, Ana-Maria; Morales Alvis, Fernando L.; Revollo Guzmán, Jimmy; Sasías Martínez, Sebastián; Alarcón De La Vega, Gricel; Medina Ramírez, Armando; Molina Gutiérrez, Jhemis T.; Cornejo Pinto, Alex J.; Salas Bacci, Renata; Brignone, Julia; Garcia, Jorge; Añez, Arletta; Mendez-Rico, Jairo; Luz, Kleber; Segales, Ariel; Torrez Cruz, Karen M.; Valdivia-Cayoja, Adolfo; Amman, Brian R.; Choi, Mary J.; Erickson, Bobbie-Rae; Goldsmith, Cynthia; Graziano, James C.; Joyce, Allison; Klena, John D.; Leach, Austin; Malenfant, Jason H.; Nichol, Stuart T.; Patel, Ketan; Sealy, Tara; Shoemaker, Trevor; Spiropoulou, Christina F.; Todres, Alison; Towner, Jonathan S.; Montgomery, Joel M.",Chapare Hemorrhagic Fever and Virus Detection in Rodents in Bolivia in 2019.,The New England journal of medicine,1533-4406 0028-4793,10.1056/NEJMoa2110339,24,386,N Engl J Med,Bolivia,eng,Copyright © 2022 Massachusetts Medical Society.,Place: United States PMID: 35704480 PMCID: PMC10245337,NA,NA,NA
19,ft_19,y,Include - Title/Abstract,NA,WQF3DDSX,2018,"Eastwood, Gillian; Camp, Jeremy V.; Chu, Yong Kyu; Sawyer, Aubrey M.; Owen, Robert D.; Cao, Xueyuan; Taylor, Mariah K.; Valdivieso-Torres, Leonardo; Sage, Richard D.; Yu, Ashley; Goodin, Doug G.; Martinez Bruyn, Vicente J.; McAllister, Ryan C.; Rodriguez, Laura; William, Evan P.; Jonsson, Colleen B.","Habitat, species richness and hantaviruses of sigmodontine rodents within the Interior Atlantic Forest, Paraguay.",PloS one,1932-6203,10.1371/journal.pone.0201307,8,13,PLoS One,Paraguay,eng,NA,Place: United States PMID: 30067840 PMCID: PMC6070238,NA,NA,NA
20,ft_20,y,Include - Title/Abstract,NA,JT659AQU,2020,"Binder, Florian; Ryll, René; Drewes, Stephan; Jagdmann, Sandra; Reil, Daniela; Hiltbrunner, Melanie; Rosenfeld, Ulrike M.; Imholt, Christian; Jacob, Jens; Heckel, Gerald; Ulrich, Rainer G.",Spatial and Temporal Evolutionary Patterns in Puumala Orthohantavirus (PUUV) S Segment.,"Pathogens (Basel, Switzerland)",2076-0817,10.3390/pathogens9070548,7,9,Pathogens,Germany,eng,NA,Place: Switzerland PMID: 32650456 PMCID: PMC7400055,NA,NA,NA
21,ft_21,y,Include - Title/Abstract,NA,H968E767,2021,"Spruill-Harrell, Briana; Pérez-Umphrey, Anna; Valdivieso-Torres, Leonardo; Cao, Xueyuan; Owen, Robert D.; Jonsson, Colleen B.",Impact of Predator Exclusion and Habitat on Seroprevalence of New World Orthohantavirus Harbored by Two Sympatric Rodents within the Interior Atlantic Forest.,Viruses,1999-4915,10.3390/v13101963,10,13,Viruses,Paraguay,eng,NA,Place: Switzerland PMID: 34696393 PMCID: PMC8538774,NA,NA,NA
22,ft_22,y,Include - Title/Abstract,NA,FQGNGCRZ,2019,"Girling, Simon Justin; McElhinney, Lorraine M.; Fraser, Mary A.; Gow, Derek; Pizzi, Romain; Naylor, Adam; Cole, Georgina; Brown, Donna; Rosell, Frank; Schwab, Gerhard; Campbell-Palmer, Roisin",Absence of hantavirus in water voles and Eurasian beavers in Britain.,The Veterinary record,2042-7670 0042-4900,10.1136/vr.105246,8,184,Vet Rec,UK,eng,© British Veterinary Association 2019. No commercial re-use. See rights and permissions. Published by BMJ.,Place: England PMID: 30792326,NA,NA,NA
23,ft_23,y,Include - Title/Abstract,NA,Q6TYGBPW,2019,"Juan, Ernesto; Levis, Silvana; Pini, Noemí; Polop, Jaime; Steinmann, Andrea R.; Provensal, María Cecilia",Mechanisms of Hantavirus Transmission in Oligoryzomys longicaudatus.,EcoHealth,1612-9210 1612-9202,10.1007/s10393-019-01454-y,4,16,Ecohealth,Argentina,eng,NA,Place: United States PMID: 31792647,NA,NA,NA
24,ft_24,y,Include - Title/Abstract,NA,5PYVCQ3A,2021,"Goodfellow, Samuel M.; Nofchissey, Robert A.; Schwalm, Kurt C.; Cook, Joseph A.; Dunnum, Jonathan L.; Guo, Yan; Ye, Chunyan; Mertz, Gregory J.; Chandran, Kartik; Harkins, Michelle; Domman, Daryl B.; Dinwiddie, Darrell L.; Bradfute, Steven B.",Tracing Transmission of Sin Nombre Virus and Discovery of Infection in Multiple Rodent Species.,Journal of virology,1098-5514 0022-538X,10.1128/JVI.01534-21,23,95,J Virol,USA,eng,NA,Place: United States PMID: 34549977 PMCID: PMC8577387,NA,NA,NA
25,ft_25,y,Include - Title/Abstract,NA,DPGIS2JS,2019,"Jeske, Kathrin; Hiltbrunner, Melanie; Drewes, Stephan; Ryll, René; Wenk, Matthias; Špakova, Aliona; Petraitytė-Burneikienė, Rasa; Heckel, Gerald; Ulrich, Rainer G.",Field vole-associated Traemmersee hantavirus from Germany represents a novel hantavirus species.,Virus genes,1572-994X 0920-8569,10.1007/s11262-019-01706-7,6,55,Virus Genes,Germany,eng,NA,Place: United States PMID: 31573059,NA,NA,NA
26,ft_26,y,Include - Title/Abstract,NA,KH89VNDR,2022,"Luo, Y.; Li, Y.; Huang, Y. L.; Zhang, X. M.; Xiong, L. H.; Zhang, R. L.; Yang, F.",[Genetic characteristics of hantavirus detected in rodents in Shenzhen].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,0254-6450,10.3760/cma.j.cn112338-20220629-00576,11,43,Zhonghua Liu Xing Bing Xue Za Zhi,China,chi,NA,Place: China PMID: 36444466,NA,NA,NA
27,ft_27,y,Include - Title/Abstract,NA,CQJVHBWV,2022,"Wang, Qiu-Wei; Tao, Li; Lu, Su-Ying; Zhu, Chang-Qiang; Ai, Le-le; Luo, Yizhe; Yu, Rong-Bin; Lv, Heng; Zhang, Yun; Wang, Chong-Cai; Tan, Wei-Long","Genetic and hosts characterization of hantaviruses in port areas in Hainan Province, P. R. China.",PloS one,1932-6203,10.1371/journal.pone.0264859,3,17,PLoS One,China,eng,NA,Place: United States PMID: 35239751 PMCID: PMC8893628,NA,NA,NA
28,ft_28,y,Include - Title/Abstract,NA,T6WEDS5B,2018,"Olayemi, Ayodeji; Oyeyiola, Akinlabi; Obadare, Adeoba; Igbokwe, Joseph; Adesina, Adetunji Samuel; Onwe, Francis; Ukwaja, Kingsley Nnanna; Ajayi, Nnennaya Anthony; Rieger, Toni; Günther, Stephan; Fichet-Calvet, Elisabeth","Widespread arenavirus occurrence and seroprevalence in small mammals, Nigeria.",Parasites & vectors,1756-3305,10.1186/s13071-018-2991-5,1,11,Parasit Vectors,Nigeria,eng,NA,Place: England PMID: 30005641 PMCID: PMC6045851,NA,NA,NA
29,ft_29,y,Include - Title/Abstract,NA,VAXB775N,2019,"Zelena, Hana; Strakova, Petra; Heroldova, Marta; Mrazek, Jakub; Kastl, Tomas; Zakovska, Alena; Ruzek, Daniel; Smetana, Jan; Rudolf, Ivo",Molecular Epidemiology of Hantaviruses in the Czech Republic.,Emerging infectious diseases,1080-6059 1080-6040,10.3201/eid2511.190449,11,25,Emerg Infect Dis,Czechia,eng,NA,Place: United States PMID: 31625853 PMCID: PMC6810203,NA,NA,NA
30,ft_30,y,Include - Title/Abstract,NA,58Q3CYRN,2021,"Burgos, E. F.; Vadell, M. V.; Bellomo, C. M.; Martinez, V. P.; Salomon, O. D.; Gómez Villafañe, I. E.",First Evidence of Akodon-Borne Orthohantavirus in Northeastern Argentina.,EcoHealth,1612-9210 1612-9202,10.1007/s10393-021-01564-6,4,18,Ecohealth,Argentina,eng,© 2021. EcoHealth Alliance.,Place: United States PMID: 34724118,NA,NA,NA
31,ft_31,y,Include - Title/Abstract,NA,ZBN9APBK,2021,"Ogola, Joseph Ganda; Alburkat, Hussein; Masika, Moses; Korhonen, Essi; Uusitalo, Ruut; Nyaga, Philip; Anzala, Omu; Vapalahti, Olli; Sironen, Tarja; Forbes, Kristian M.","Seroevidence of Zoonotic Viruses in Rodents and Humans in Kibera Informal Settlement, Nairobi, Kenya.","Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2021.0046,12,21,Vector Borne Zoonotic Dis,Kenya,eng,NA,Place: United States PMID: 34958268,NA,NA,NA
32,ft_32,y,Include - Title/Abstract,NA,CMN3F3DZ,2022,"Leopardi, Stefania; Drzewnioková, Petra; Baggieri, Melissa; Marchi, Antonella; Bucci, Paola; Bregoli, Marco; De Benedictis, Paola; Gobbo, Federica; Bellinati, Laura; Citterio, Carlo; Monne, Isabella; Pastori, Ambra; Zamperin, Gianpiero; Palumbo, Elisa; Festa, Francesca; Castellan, Martina; Zorzan, Maira; D'Ugo, Emilio; Zucca, Paolo; Terregino, Calogero; Magurano, Fabio",Identification of Dobrava-Belgrade Virus in Apodemus flavicollis from North-Eastern Italy during Enhanced Mortality.,Viruses,1999-4915,10.3390/v14061241,6,14,Viruses,Italy,eng,NA,Place: Switzerland PMID: 35746712 PMCID: PMC9229784,NA,NA,NA
33,ft_33,y,Include - Title/Abstract,NA,7K55FZ8B,2020,"Kim, Won-Keun; No, Jin Sun; Lee, Daesang; Jung, Jaehun; Park, Hayne; Yi, Yongjin; Kim, Jeong-Ah; Lee, Seung-Ho; Kim, Yujin; Park, Sunhye; Cho, Seungchan; Lee, Geum-Young; Song, Dong Hyun; Gu, Se Hun; Park, Kkothanahreum; Kim, Heung-Chul; Wiley, Michael R.; Chain, Patrick S. G.; Jeong, Seong Tae; Klein, Terry A.; Palacios, Gustavo; Song, Jin-Won",Active Targeted Surveillance to Identify Sites of Emergence of Hantavirus.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,1537-6591 1058-4838,10.1093/cid/ciz234,3,70,Clin Infect Dis,Republic of Korea,eng,"© The Author(s) 2019. Published by Oxford University Press for the Infectious Diseases Society of America. All rights reserved. For permissions, e-mail: journals.permissions@oup.com.",Place: United States PMID: 30891596,NA,NA,NA
34,ft_34,y,Include - Title/Abstract,NA,3UCPFW3C,2019,"Vigueras-Galván, Ana L.; López-Pérez, Andrés M.; García-Peña, Gabriel E.; Rico-Chávez, Oscar; Sarmiento-Silva, Rosa E.; Suzán, Gerardo",Current Situation and Perspectives on Hantaviruses in Mexico.,Viruses,1999-4915,10.3390/v11070642,7,11,Viruses,NA,eng,NA,Place: Switzerland PMID: 31336858 PMCID: PMC6669582,NA,NA,NA
35,ft_35,y,Include - Title/Abstract,NA,YABB8CNB,2021,"Jeske, K.; Jacob, J.; Drewes, S.; Pfeffer, M.; Heckel, G.; Ulrich, R. G.; Imholt, C.",Hantavirus-Leptospira coinfections in small mammals from central Germany.,Epidemiology and infection,1469-4409 0950-2688,10.1017/S0950268821000443,NA,149,Epidemiol Infect,Germany,eng,NA,Place: England PMID: 33612134 PMCID: PMC8101269,NA,NA,NA
36,ft_36,y,Include - Title/Abstract,NA,SXY6MH5S,2022,"Tukhanova, Nur; Shin, Anna; Turebekov, Nurkeldi; Nurmakhanov, Talgat; Abdiyeva, Karlygash; Shevtsov, Alexandr; Yerubaev, Toktasyn; Tokmurziyeva, Gulnara; Berdibekov, Almas; Sutyagin, Vitaliy; Maikanov, Nurbek; Zakharov, Andrei; Lezdinsh, Ilmars; Yeraliyeva, Lyazzat; Froeschl, Guenter; Hoelscher, Michael; Frey, Stefan; Wagner, Edith; Peintner, Lukas; Essbauer, Sandra",Molecular Characterisation and Phylogeny of Tula Virus in Kazakhstan.,Viruses,1999-4915,10.3390/v14061258,6,14,Viruses,Kazakhstan,eng,NA,Place: Switzerland PMID: 35746729 PMCID: PMC9230364,NA,NA,NA
37,ft_37,y,Include - Title/Abstract,NA,4I96SDDR,2017,"Wang, Bo; Cai, Chun-Lin; Li, Bei; Zhang, Wei; Zhu, Yan; Chen, Wei-Hong; Zhuo, Fei; Shi, Zheng-Li; Yang, Xing-Lou","Detection and characterization of three zoonotic viruses in wild rodents and shrews from Shenzhen city, China.",Virologica Sinica,1995-820X 1674-0769,10.1007/s12250-017-3973-z,4,32,Virol Sin,China,eng,NA,Place: Netherlands PMID: 28721632 PMCID: PMC6598888,NA,NA,NA
38,ft_38,y,Include - Title/Abstract,NA,NQT6DVHB,2023,"Liu, Yuan-Yuan; Yang, An; Xu, Ying-Qi; Zhang, Yi-Hui; Bai, Cheng-Si; Zhang, Yu-Qing; Mou, Xiao-Li; Luo, Fan; Chen, Shu-Liang; Hou, Wei; Yang, Zhan-Qiu; Chen, Liang-Jun; Xiong, Hai-Rong","Incidence of Orthohantavirus infection in humans follows observed changes in rodent reservoirs, Hubei Province, China (1984-2010).",American journal of veterinary research,1943-5681 0002-9645,10.2460/ajvr.22.12.0215,8,84,Am J Vet Res,China,eng,NA,Place: United States PMID: 37308156,NA,NA,NA
39,ft_39,y,Include - Title/Abstract,NA,H93753V6,2022,"Jeske, Kathrin; Herzig-Straschil, Barbara; Răileanu, Cristian; Kunec, Dusan; Tauchmann, Oliver; Emirhar, Duygu; Schmidt, Sabrina; Trimpert, Jakob; Silaghi, Cornelia; Heckel, Gerald; Ulrich, Rainer G.; Drewes, Stephan",Zoonotic pathogen screening of striped field mice (Apodemus agrarius) from Austria.,Transboundary and emerging diseases,1865-1682 1865-1674,10.1111/tbed.14015,2,69,Transbound Emerg Dis,Austria,eng,© 2021 The Authors. Transboundary and Emerging Diseases published by Wiley-VCH GmbH.,Place: Germany PMID: 33534959,NA,NA,NA
40,ft_40,y,Include - Title/Abstract,NA,WJDXGR8M,2021,"Mangombi, Joa Braïthe; N'dilimabaka, Nadine; Lekana-Douki, Jean-Bernard; Banga, Octavie; Maghendji-Nzondo, Sydney; Bourgarel, Mathieu; Leroy, Eric; Fenollar, Florence; Mediannikov, Oleg","First investigation of pathogenic bacteria, protozoa and viruses in rodents and shrews in context of forest-savannah-urban areas interface in the city of Franceville (Gabon).",PloS one,1932-6203,10.1371/journal.pone.0248244,3,16,PLoS One,Gabon,eng,NA,Place: United States PMID: 33684147 PMCID: PMC7939261,NA,NA,NA
41,ft_41,y,Include - Title/Abstract,NA,4QC2ZZJZ,2017,"Milazzo, Mary Louise; Cajimat, Maria N. B.; Richter, Martin H.; Bradley, Robert D.; Fulhorst, Charles F.",Muleshoe Virus and Other Hantaviruses Associated with Neotomine or Sigmodontine Rodents in Texas.,"Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2017.2108,10,17,Vector Borne Zoonotic Dis,USA,eng,NA,Place: United States PMID: 28714801 PMCID: PMC5649414,NA,NA,NA
42,ft_42,y,Include - Title/Abstract,NA,YQAE7VEU,2019,"Wang, Jinxia; Yang, Xinglou; Liu, Haizhou; Wang, Li; Zhou, Jihua; Han, Xi; Zhu, Yan; Yang, Weihong; Pan, Hong; Zhang, Yunzhi; Shi, Zhengli","Prevalence of Wēnzhōu virus in small mammals in Yunnan Province, China.",PLoS neglected tropical diseases,1935-2735 1935-2727,10.1371/journal.pntd.0007049,2,13,PLoS Negl Trop Dis,China,eng,NA,Place: United States PMID: 30768614 PMCID: PMC6395006,NA,NA,NA
43,ft_43,y,Include - Title/Abstract,NA,HPP998UI,2018,"Guterres, Alexandro; de Oliveira, Renata Carvalho; Fernandes, Jorlan; Maia, Renata Malachini; Teixeira, Bernardo Rodrigues; Oliveira, Flávio César Gomes; Bonvicino, Cibele Rodrigues; D'Andrea, Paulo Sergio; Schrago, Carlos Guerra; de Lemos, Elba Regina Sampaio",Co-circulation of Araraquara and Juquitiba Hantavirus in Brazilian Cerrado.,Microbial ecology,1432-184X 0095-3628,10.1007/s00248-017-1061-4,3,75,Microb Ecol,Brazil,eng,NA,Place: United States PMID: 28856421,NA,NA,NA
44,ft_44,y,Include - Title/Abstract,NA,KE28GBXV,2023,"Du, Shanshan; Xie, Yun; Deng, Xuefei; Xia, Zhiyong; Wu, Wei; Huang, Xiaoxia; Chen, Zhao; Li, Aqian; Li, Chuan; Wang, Qin; Sun, Lina; Guo, Meijun; Wang, Shiwen; Liang, Mifang; Li, Dexin; Liu, Xiaoqing; Li, Jiandong","Co-circulation and co-infection of hantaviruses and Wenzhou mammarenavirus in small mammals and humans in Jiangxi, China.",Frontiers in microbiology,1664-302X,10.3389/fmicb.2023.1225255,NA,14,Front Microbiol,China,eng,"Copyright © 2023 Du, Xie, Deng, Xia, Wu, Huang, Chen, Li, Li, Wang, Sun, Guo, Wang, Liang, Li, Liu and Li.",Place: Switzerland PMID: 37502398 PMCID: PMC10371193,NA,NA,NA
45,ft_45,y,Include - Title/Abstract,NA,7Z8PJBMQ,2019,"Liu, Shiyou; Wei, Yamei; Han, Xu; Cai, Yanan; Han, Zhanying; Zhang, Yanbo; Xu, Yonggang; Qi, Shunxiang; Li, Qi","Long-term retrospective observation reveals stabilities and variations of hantavirus infection in Hebei, China.",BMC infectious diseases,1471-2334,10.1186/s12879-019-4402-8,1,19,BMC Infect Dis,China,eng,NA,Place: England PMID: 31477045 PMCID: PMC6721381,NA,NA,NA
